"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","CPI-DNN",0.8,1000,"regression",1,"regression",0.971666666666667
"2","CPI-DNN",0.8,1000,"regression",2,"regression",0.953333333333333
"3","CPI-DNN",0.8,1000,"regression",3,"regression",0.915
"4","CPI-DNN",0.8,1000,"regression",4,"regression",0.98
"5","CPI-DNN",0.8,1000,"regression",5,"regression",0.985
"6","CPI-DNN",0.8,1000,"regression",6,"regression",0.985
"7","CPI-DNN",0.8,1000,"regression",7,"regression",0.898333333333333
"8","CPI-DNN",0.8,1000,"regression",8,"regression",0.968333333333333
"9","CPI-DNN",0.8,1000,"regression",9,"regression",0.981666666666667
"10","CPI-DNN",0.8,1000,"regression",10,"regression",0.936666666666667
"11","CPI-DNN",0.8,1000,"regression",11,"regression",0.97
"12","CPI-DNN",0.8,1000,"regression",12,"regression",0.993333333333333
"13","CPI-DNN",0.8,1000,"regression",13,"regression",0.995
"14","CPI-DNN",0.8,1000,"regression",14,"regression",0.825
"15","CPI-DNN",0.8,1000,"regression",15,"regression",0.988333333333333
"16","CPI-DNN",0.8,1000,"regression",16,"regression",0.985
"17","CPI-DNN",0.8,1000,"regression",17,"regression",0.995
"18","CPI-DNN",0.8,1000,"regression",18,"regression",0.963333333333333
"19","CPI-DNN",0.8,1000,"regression",19,"regression",0.998333333333333
"20","CPI-DNN",0.8,1000,"regression",20,"regression",1
"21","CPI-DNN",0.8,1000,"regression",21,"regression",0.945
"22","CPI-DNN",0.8,1000,"regression",22,"regression",0.948333333333333
"23","CPI-DNN",0.8,1000,"regression",23,"regression",0.955
"24","CPI-DNN",0.8,1000,"regression",24,"regression",1
"25","CPI-DNN",0.8,1000,"regression",25,"regression",0.966666666666667
"26","CPI-DNN",0.8,1000,"regression",26,"regression",0.96
"27","CPI-DNN",0.8,1000,"regression",27,"regression",0.983333333333333
"28","CPI-DNN",0.8,1000,"regression",28,"regression",0.948333333333333
"29","CPI-DNN",0.8,1000,"regression",29,"regression",0.993333333333333
"30","CPI-DNN",0.8,1000,"regression",30,"regression",0.978333333333333
"31","CPI-DNN",0.8,1000,"regression",31,"regression",0.943333333333333
"32","CPI-DNN",0.8,1000,"regression",32,"regression",0.98
"33","CPI-DNN",0.8,1000,"regression",33,"regression",0.981666666666667
"34","CPI-DNN",0.8,1000,"regression",34,"regression",0.84
"35","CPI-DNN",0.8,1000,"regression",35,"regression",0.923333333333333
"36","CPI-DNN",0.8,1000,"regression",36,"regression",0.953333333333333
"37","CPI-DNN",0.8,1000,"regression",37,"regression",0.945
"38","CPI-DNN",0.8,1000,"regression",38,"regression",1
"39","CPI-DNN",0.8,1000,"regression",39,"regression",0.993333333333333
"40","CPI-DNN",0.8,1000,"regression",40,"regression",0.961666666666667
"41","CPI-DNN",0.8,1000,"regression",41,"regression",0.911666666666666
"42","CPI-DNN",0.8,1000,"regression",42,"regression",0.92
"43","CPI-DNN",0.8,1000,"regression",43,"regression",0.99
"44","CPI-DNN",0.8,1000,"regression",44,"regression",0.99
"45","CPI-DNN",0.8,1000,"regression",45,"regression",0.993333333333333
"46","CPI-DNN",0.8,1000,"regression",46,"regression",0.991666666666667
"47","CPI-DNN",0.8,1000,"regression",47,"regression",0.953333333333333
"48","CPI-DNN",0.8,1000,"regression",48,"regression",0.94
"49","CPI-DNN",0.8,1000,"regression",49,"regression",0.96
"50","CPI-DNN",0.8,1000,"regression",50,"regression",0.956666666666667
"51","CPI-DNN",0.8,1000,"regression",51,"regression",0.975
"52","CPI-DNN",0.8,1000,"regression",52,"regression",0.985
"53","CPI-DNN",0.8,1000,"regression",53,"regression",0.956666666666667
"54","CPI-DNN",0.8,1000,"regression",54,"regression",0.978333333333333
"55","CPI-DNN",0.8,1000,"regression",55,"regression",0.845
"56","CPI-DNN",0.8,1000,"regression",56,"regression",0.981666666666667
"57","CPI-DNN",0.8,1000,"regression",57,"regression",0.946666666666666
"58","CPI-DNN",0.8,1000,"regression",58,"regression",0.943333333333333
"59","CPI-DNN",0.8,1000,"regression",59,"regression",0.973333333333333
"60","CPI-DNN",0.8,1000,"regression",60,"regression",0.961666666666667
"61","CPI-DNN",0.8,1000,"regression",61,"regression",0.985
"62","CPI-DNN",0.8,1000,"regression",62,"regression",0.933333333333333
"63","CPI-DNN",0.8,1000,"regression",63,"regression",0.983333333333333
"64","CPI-DNN",0.8,1000,"regression",64,"regression",0.981666666666667
"65","CPI-DNN",0.8,1000,"regression",65,"regression",0.958333333333333
"66","CPI-DNN",0.8,1000,"regression",66,"regression",0.938333333333333
"67","CPI-DNN",0.8,1000,"regression",67,"regression",0.995
"68","CPI-DNN",0.8,1000,"regression",68,"regression",0.968333333333333
"69","CPI-DNN",0.8,1000,"regression",69,"regression",0.981666666666667
"70","CPI-DNN",0.8,1000,"regression",70,"regression",0.936666666666667
"71","CPI-DNN",0.8,1000,"regression",71,"regression",0.988333333333333
"72","CPI-DNN",0.8,1000,"regression",72,"regression",0.943333333333333
"73","CPI-DNN",0.8,1000,"regression",73,"regression",0.988333333333333
"74","CPI-DNN",0.8,1000,"regression",74,"regression",0.99
"75","CPI-DNN",0.8,1000,"regression",75,"regression",0.973333333333333
"76","CPI-DNN",0.8,1000,"regression",76,"regression",0.941666666666667
"77","CPI-DNN",0.8,1000,"regression",77,"regression",1
"78","CPI-DNN",0.8,1000,"regression",78,"regression",0.995
"79","CPI-DNN",0.8,1000,"regression",79,"regression",0.98
"80","CPI-DNN",0.8,1000,"regression",80,"regression",0.968333333333333
"81","CPI-DNN",0.8,1000,"regression",81,"regression",0.945
"82","CPI-DNN",0.8,1000,"regression",82,"regression",0.955
"83","CPI-DNN",0.8,1000,"regression",83,"regression",1
"84","CPI-DNN",0.8,1000,"regression",84,"regression",0.996666666666667
"85","CPI-DNN",0.8,1000,"regression",85,"regression",0.978333333333333
"86","CPI-DNN",0.8,1000,"regression",86,"regression",0.956666666666666
"87","CPI-DNN",0.8,1000,"regression",87,"regression",0.965
"88","CPI-DNN",0.8,1000,"regression",88,"regression",0.991666666666667
"89","CPI-DNN",0.8,1000,"regression",89,"regression",0.956666666666666
"90","CPI-DNN",0.8,1000,"regression",90,"regression",0.965
"91","CPI-DNN",0.8,1000,"regression",91,"regression",0.985
"92","CPI-DNN",0.8,1000,"regression",92,"regression",0.976666666666667
"93","CPI-DNN",0.8,1000,"regression",93,"regression",0.973333333333333
"94","CPI-DNN",0.8,1000,"regression",94,"regression",0.995
"95","CPI-DNN",0.8,1000,"regression",95,"regression",0.986666666666667
"96","CPI-DNN",0.8,1000,"regression",96,"regression",0.891666666666666
"97","CPI-DNN",0.8,1000,"regression",97,"regression",0.986666666666667
"98","CPI-DNN",0.8,1000,"regression",98,"regression",0.931666666666666
"99","CPI-DNN",0.8,1000,"regression",99,"regression",0.965
"100","CPI-DNN",0.8,1000,"regression",100,"regression",0.956666666666667
"101","LOCO-DNN",0.8,1000,"regression",1,"regression",0.76
"102","LOCO-DNN",0.8,1000,"regression",2,"regression",0.896666666666667
"103","LOCO-DNN",0.8,1000,"regression",3,"regression",0.915
"104","LOCO-DNN",0.8,1000,"regression",4,"regression",0.9
"105","LOCO-DNN",0.8,1000,"regression",5,"regression",0.826666666666667
"106","LOCO-DNN",0.8,1000,"regression",6,"regression",0.881666666666666
"107","LOCO-DNN",0.8,1000,"regression",7,"regression",0.961666666666667
"108","LOCO-DNN",0.8,1000,"regression",8,"regression",0.858333333333333
"109","LOCO-DNN",0.8,1000,"regression",9,"regression",0.838333333333333
"110","LOCO-DNN",0.8,1000,"regression",10,"regression",0.81
"111","LOCO-DNN",0.8,1000,"regression",11,"regression",0.963333333333333
"112","LOCO-DNN",0.8,1000,"regression",12,"regression",0.931666666666667
"113","LOCO-DNN",0.8,1000,"regression",13,"regression",0.943333333333333
"114","LOCO-DNN",0.8,1000,"regression",14,"regression",0.84
"115","LOCO-DNN",0.8,1000,"regression",15,"regression",0.826666666666667
"116","LOCO-DNN",0.8,1000,"regression",16,"regression",0.858333333333333
"117","LOCO-DNN",0.8,1000,"regression",17,"regression",0.981666666666667
"118","LOCO-DNN",0.8,1000,"regression",18,"regression",0.651666666666667
"119","LOCO-DNN",0.8,1000,"regression",19,"regression",0.958333333333333
"120","LOCO-DNN",0.8,1000,"regression",20,"regression",0.9
"121","LOCO-DNN",0.8,1000,"regression",21,"regression",0.895
"122","LOCO-DNN",0.8,1000,"regression",22,"regression",0.891666666666667
"123","LOCO-DNN",0.8,1000,"regression",23,"regression",0.885
"124","LOCO-DNN",0.8,1000,"regression",24,"regression",0.888333333333333
"125","LOCO-DNN",0.8,1000,"regression",25,"regression",0.955
"126","LOCO-DNN",0.8,1000,"regression",26,"regression",0.788333333333333
"127","LOCO-DNN",0.8,1000,"regression",27,"regression",0.896666666666666
"128","LOCO-DNN",0.8,1000,"regression",28,"regression",0.806666666666667
"129","LOCO-DNN",0.8,1000,"regression",29,"regression",0.906666666666667
"130","LOCO-DNN",0.8,1000,"regression",30,"regression",0.955
"131","LOCO-DNN",0.8,1000,"regression",31,"regression",0.925
"132","LOCO-DNN",0.8,1000,"regression",32,"regression",0.853333333333333
"133","LOCO-DNN",0.8,1000,"regression",33,"regression",0.901666666666666
"134","LOCO-DNN",0.8,1000,"regression",34,"regression",0.818333333333333
"135","LOCO-DNN",0.8,1000,"regression",35,"regression",0.913333333333333
"136","LOCO-DNN",0.8,1000,"regression",36,"regression",0.958333333333333
"137","LOCO-DNN",0.8,1000,"regression",37,"regression",0.803333333333333
"138","LOCO-DNN",0.8,1000,"regression",38,"regression",0.98
"139","LOCO-DNN",0.8,1000,"regression",39,"regression",0.918333333333333
"140","LOCO-DNN",0.8,1000,"regression",40,"regression",0.955
"141","LOCO-DNN",0.8,1000,"regression",41,"regression",0.811666666666667
"142","LOCO-DNN",0.8,1000,"regression",42,"regression",0.876666666666667
"143","LOCO-DNN",0.8,1000,"regression",43,"regression",0.97
"144","LOCO-DNN",0.8,1000,"regression",44,"regression",0.953333333333333
"145","LOCO-DNN",0.8,1000,"regression",45,"regression",0.826666666666667
"146","LOCO-DNN",0.8,1000,"regression",46,"regression",0.853333333333333
"147","LOCO-DNN",0.8,1000,"regression",47,"regression",0.876666666666667
"148","LOCO-DNN",0.8,1000,"regression",48,"regression",0.975
"149","LOCO-DNN",0.8,1000,"regression",49,"regression",0.691666666666667
"150","LOCO-DNN",0.8,1000,"regression",50,"regression",0.845
"151","LOCO-DNN",0.8,1000,"regression",51,"regression",0.931666666666666
"152","LOCO-DNN",0.8,1000,"regression",52,"regression",0.793333333333333
"153","LOCO-DNN",0.8,1000,"regression",53,"regression",0.835
"154","LOCO-DNN",0.8,1000,"regression",54,"regression",0.893333333333333
"155","LOCO-DNN",0.8,1000,"regression",55,"regression",0.775
"156","LOCO-DNN",0.8,1000,"regression",56,"regression",0.975
"157","LOCO-DNN",0.8,1000,"regression",57,"regression",0.931666666666666
"158","LOCO-DNN",0.8,1000,"regression",58,"regression",0.813333333333333
"159","LOCO-DNN",0.8,1000,"regression",59,"regression",0.868333333333333
"160","LOCO-DNN",0.8,1000,"regression",60,"regression",0.95
"161","LOCO-DNN",0.8,1000,"regression",61,"regression",0.906666666666666
"162","LOCO-DNN",0.8,1000,"regression",62,"regression",0.811666666666667
"163","LOCO-DNN",0.8,1000,"regression",63,"regression",0.906666666666667
"164","LOCO-DNN",0.8,1000,"regression",64,"regression",0.903333333333333
"165","LOCO-DNN",0.8,1000,"regression",65,"regression",0.87
"166","LOCO-DNN",0.8,1000,"regression",66,"regression",0.913333333333333
"167","LOCO-DNN",0.8,1000,"regression",67,"regression",0.958333333333333
"168","LOCO-DNN",0.8,1000,"regression",68,"regression",0.838333333333333
"169","LOCO-DNN",0.8,1000,"regression",69,"regression",0.85
"170","LOCO-DNN",0.8,1000,"regression",70,"regression",0.881666666666667
"171","LOCO-DNN",0.8,1000,"regression",71,"regression",0.871666666666667
"172","LOCO-DNN",0.8,1000,"regression",72,"regression",0.801666666666667
"173","LOCO-DNN",0.8,1000,"regression",73,"regression",0.955
"174","LOCO-DNN",0.8,1000,"regression",74,"regression",0.948333333333333
"175","LOCO-DNN",0.8,1000,"regression",75,"regression",0.91
"176","LOCO-DNN",0.8,1000,"regression",76,"regression",0.786666666666667
"177","LOCO-DNN",0.8,1000,"regression",77,"regression",0.893333333333333
"178","LOCO-DNN",0.8,1000,"regression",78,"regression",0.861666666666667
"179","LOCO-DNN",0.8,1000,"regression",79,"regression",0.966666666666667
"180","LOCO-DNN",0.8,1000,"regression",80,"regression",0.788333333333334
"181","LOCO-DNN",0.8,1000,"regression",81,"regression",0.935
"182","LOCO-DNN",0.8,1000,"regression",82,"regression",0.796666666666667
"183","LOCO-DNN",0.8,1000,"regression",83,"regression",0.973333333333333
"184","LOCO-DNN",0.8,1000,"regression",84,"regression",0.888333333333333
"185","LOCO-DNN",0.8,1000,"regression",85,"regression",0.853333333333333
"186","LOCO-DNN",0.8,1000,"regression",86,"regression",0.943333333333333
"187","LOCO-DNN",0.8,1000,"regression",87,"regression",0.848333333333333
"188","LOCO-DNN",0.8,1000,"regression",88,"regression",0.978333333333333
"189","LOCO-DNN",0.8,1000,"regression",89,"regression",0.925
"190","LOCO-DNN",0.8,1000,"regression",90,"regression",0.963333333333333
"191","LOCO-DNN",0.8,1000,"regression",91,"regression",0.93
"192","LOCO-DNN",0.8,1000,"regression",92,"regression",0.901666666666666
"193","LOCO-DNN",0.8,1000,"regression",93,"regression",0.896666666666667
"194","LOCO-DNN",0.8,1000,"regression",94,"regression",0.89
"195","LOCO-DNN",0.8,1000,"regression",95,"regression",0.786666666666666
"196","LOCO-DNN",0.8,1000,"regression",96,"regression",0.868333333333333
"197","LOCO-DNN",0.8,1000,"regression",97,"regression",0.878333333333334
"198","LOCO-DNN",0.8,1000,"regression",98,"regression",0.953333333333333
"199","LOCO-DNN",0.8,1000,"regression",99,"regression",0.781666666666667
"200","LOCO-DNN",0.8,1000,"regression",100,"regression",0.946666666666667
