,Method,correlation,n_samples,prob_data,iteration,V1
1,Permfit-DNN,0,300,regression_perm,1,0.810526315789474
2,Permfit-DNN,0,300,regression_perm,2,0.776842105263158
3,Permfit-DNN,0,300,regression_perm,3,0.938947368421053
4,Permfit-DNN,0,300,regression_perm,4,0.621052631578947
5,Permfit-DNN,0,300,regression_perm,5,0.680000000000001
6,Permfit-DNN,0,300,regression_perm,6,0.886315789473684
7,Permfit-DNN,0,300,regression_perm,7,0.692631578947369
8,Permfit-DNN,0,300,regression_perm,8,0.863157894736842
9,Permfit-DNN,0,300,regression_perm,9,0.614736842105263
10,Permfit-DNN,0,300,regression_perm,10,0.745263157894737
11,Permfit-DNN,0,300,regression_perm,11,0.610526315789474
12,Permfit-DNN,0,300,regression_perm,12,0.692631578947368
13,Permfit-DNN,0,300,regression_perm,13,0.945263157894737
14,Permfit-DNN,0,300,regression_perm,14,0.637894736842105
15,Permfit-DNN,0,300,regression_perm,15,0.650526315789474
16,Permfit-DNN,0,300,regression_perm,16,0.686315789473684
17,Permfit-DNN,0,300,regression_perm,17,0.642105263157895
18,Permfit-DNN,0,300,regression_perm,18,0.75578947368421
19,Permfit-DNN,0,300,regression_perm,19,0.766315789473685
20,Permfit-DNN,0,300,regression_perm,20,0.846315789473685
21,Permfit-DNN,0,300,regression_perm,21,0.722105263157895
22,Permfit-DNN,0,300,regression_perm,22,0.656842105263158
23,Permfit-DNN,0,300,regression_perm,23,0.770526315789474
24,Permfit-DNN,0,300,regression_perm,24,0.642105263157895
25,Permfit-DNN,0,300,regression_perm,25,0.658947368421053
26,Permfit-DNN,0,300,regression_perm,26,0.800000000000001
27,Permfit-DNN,0,300,regression_perm,27,0.701052631578948
28,Permfit-DNN,0,300,regression_perm,28,0.682105263157895
29,Permfit-DNN,0,300,regression_perm,29,0.637894736842105
30,Permfit-DNN,0,300,regression_perm,30,0.787368421052632
31,Permfit-DNN,0,300,regression_perm,31,0.663157894736843
32,Permfit-DNN,0,300,regression_perm,32,0.682105263157895
33,Permfit-DNN,0,300,regression_perm,33,0.783157894736842
34,Permfit-DNN,0,300,regression_perm,34,0.612631578947368
35,Permfit-DNN,0,300,regression_perm,35,0.867368421052632
36,Permfit-DNN,0,300,regression_perm,36,0.760000000000001
37,Permfit-DNN,0,300,regression_perm,37,0.802105263157895
38,Permfit-DNN,0,300,regression_perm,38,0.818947368421053
39,Permfit-DNN,0,300,regression_perm,39,0.736842105263158
40,Permfit-DNN,0,300,regression_perm,40,0.825263157894737
41,Permfit-DNN,0,300,regression_perm,41,0.658947368421053
42,Permfit-DNN,0,300,regression_perm,42,0.825263157894737
43,Permfit-DNN,0,300,regression_perm,43,0.781052631578948
44,Permfit-DNN,0,300,regression_perm,44,0.922105263157895
45,Permfit-DNN,0,300,regression_perm,45,0.667368421052632
46,Permfit-DNN,0,300,regression_perm,46,0.88
47,Permfit-DNN,0,300,regression_perm,47,0.762105263157895
48,Permfit-DNN,0,300,regression_perm,48,0.846315789473684
49,Permfit-DNN,0,300,regression_perm,49,0.576842105263158
50,Permfit-DNN,0,300,regression_perm,50,0.827368421052632
51,Permfit-DNN,0,300,regression_perm,51,0.871578947368421
52,Permfit-DNN,0,300,regression_perm,52,0.825263157894737
53,Permfit-DNN,0,300,regression_perm,53,0.698947368421053
54,Permfit-DNN,0,300,regression_perm,54,0.778947368421053
55,Permfit-DNN,0,300,regression_perm,55,0.743157894736843
56,Permfit-DNN,0,300,regression_perm,56,0.705263157894737
57,Permfit-DNN,0,300,regression_perm,57,0.806315789473684
58,Permfit-DNN,0,300,regression_perm,58,0.587368421052632
59,Permfit-DNN,0,300,regression_perm,59,0.865263157894737
60,Permfit-DNN,0,300,regression_perm,60,0.804210526315789
