"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","CPI-DNN",0.8,8357,"regression_combine",1,"regression",0.925477883461077
"2","CPI-DNN",0.8,8357,"regression_combine",2,"regression",0.634961676978485
"3","CPI-DNN",0.8,8357,"regression_combine",3,"regression",0.623695632098995
"4","CPI-DNN",0.8,8357,"regression_combine",4,"regression",0.852802659525355
"5","CPI-DNN",0.8,8357,"regression_combine",5,"regression",0.962692769415457
"6","CPI-DNN",0.8,8357,"regression_combine",6,"regression",0.946163080616862
"7","CPI-DNN",0.8,8357,"regression_combine",7,"regression",0.979453319789455
"8","CPI-DNN",0.8,8357,"regression_combine",8,"regression",0.826992335395699
"9","CPI-DNN",0.8,8357,"regression_combine",9,"regression",0.905900821867211
"10","CPI-DNN",0.8,8357,"regression_combine",10,"regression",0.840844029919665
"11","CPI-DNN",0.8,8357,"regression_combine",11,"regression",0.890848647151168
"12","CPI-DNN",0.8,8357,"regression_combine",12,"regression",0.551897682149783
"13","CPI-DNN",0.8,8357,"regression_combine",13,"regression",0.943946809493029
"14","CPI-DNN",0.8,8357,"regression_combine",14,"regression",0.645904515652419
"15","CPI-DNN",0.8,8357,"regression_combine",15,"regression",0.74415920214239
"16","CPI-DNN",0.8,8357,"regression_combine",16,"regression",0.971326992335395
"17","CPI-DNN",0.8,8357,"regression_combine",17,"regression",0.840474651399021
"18","CPI-DNN",0.8,8357,"regression_combine",18,"regression",0.817296149228929
"19","CPI-DNN",0.8,8357,"regression_combine",19,"regression",0.856219410841258
"20","CPI-DNN",0.8,8357,"regression_combine",20,"regression",0.901006556468742
"21","CPI-DNN",0.8,8357,"regression_combine",21,"regression",0.922984578446766
"22","CPI-DNN",0.8,8357,"regression_combine",22,"regression",0.949441314987537
"23","CPI-DNN",0.8,8357,"regression_combine",23,"regression",0.624157355249791
"24","CPI-DNN",0.8,8357,"regression_combine",24,"regression",0.995705974697571
"25","CPI-DNN",0.8,8357,"regression_combine",25,"regression",0.921691753624532
"26","CPI-DNN",0.8,8357,"regression_combine",26,"regression",0.960984393757501
"27","CPI-DNN",0.8,8357,"regression_combine",27,"regression",0.89786683904331
"28","CPI-DNN",0.8,8357,"regression_combine",28,"regression",0.665250715670881
"29","CPI-DNN",0.8,8357,"regression_combine",29,"regression",0.871040723981902
"30","CPI-DNN",0.8,8357,"regression_combine",30,"regression",0.916520454335586
"31","CPI-DNN",0.8,8357,"regression_combine",31,"regression",0.605734601532921
"32","CPI-DNN",0.8,8357,"regression_combine",32,"regression",0.941592021423954
"33","CPI-DNN",0.8,8357,"regression_combine",33,"regression",0.462738941730538
"34","CPI-DNN",0.8,8357,"regression_combine",34,"regression",0.978991596638659
"35","CPI-DNN",0.8,8357,"regression_combine",35,"regression",0.892095299658332
"36","CPI-DNN",0.8,8357,"regression_combine",36,"regression",0.732616123372425
"37","CPI-DNN",0.8,8357,"regression_combine",37,"regression",0.744851786868593
"38","CPI-DNN",0.8,8357,"regression_combine",38,"regression",0.700757225967311
"39","CPI-DNN",0.8,8357,"regression_combine",39,"regression",0.962646597100381
"40","CPI-DNN",0.8,8357,"regression_combine",40,"regression",0.941915227629515
"41","CPI-DNN",0.8,8357,"regression_combine",41,"regression",0.887662757410656
"42","CPI-DNN",0.8,8357,"regression_combine",42,"regression",0.866608181734236
"43","CPI-DNN",0.8,8357,"regression_combine",43,"regression",0.979776525995015
"44","CPI-DNN",0.8,8357,"regression_combine",44,"regression",0.656154769600148
"45","CPI-DNN",0.8,8357,"regression_combine",45,"regression",0.789269553975441
"46","CPI-DNN",0.8,8357,"regression_combine",46,"regression",0.837104072398192
"47","CPI-DNN",0.8,8357,"regression_combine",47,"regression",0.721857973958817
"48","CPI-DNN",0.8,8357,"regression_combine",48,"regression",0.698494782528401
"49","CPI-DNN",0.8,8357,"regression_combine",49,"regression",0.865500046172312
"50","CPI-DNN",0.8,8357,"regression_combine",50,"regression",0.709529965832486
"51","CPI-DNN",0.8,8357,"regression_combine",51,"regression",0.875242404654168
"52","CPI-DNN",0.8,8357,"regression_combine",52,"regression",0.844168436605418
"53","CPI-DNN",0.8,8357,"regression_combine",53,"regression",0.721904146273896
"54","CPI-DNN",0.8,8357,"regression_combine",54,"regression",0.733447225043865
"55","CPI-DNN",0.8,8357,"regression_combine",55,"regression",0.815403084310641
"56","CPI-DNN",0.8,8357,"regression_combine",56,"regression",0.936236032874687
"57","CPI-DNN",0.8,8357,"regression_combine",57,"regression",0.753208975898054
"58","CPI-DNN",0.8,8357,"regression_combine",58,"regression",0.959830085880505
"59","CPI-DNN",0.8,8357,"regression_combine",59,"regression",0.846661741619722
"60","CPI-DNN",0.8,8357,"regression_combine",60,"regression",0.939791301135838
"61","CPI-DNN",0.8,8357,"regression_combine",61,"regression",0.94639394219226
"62","CPI-DNN",0.8,8357,"regression_combine",62,"regression",0.950226244343889
"63","CPI-DNN",0.8,8357,"regression_combine",63,"regression",0.951242035275649
"64","CPI-DNN",0.8,8357,"regression_combine",64,"regression",0.770292732477613
"65","CPI-DNN",0.8,8357,"regression_combine",65,"regression",0.901930002770342
"66","CPI-DNN",0.8,8357,"regression_combine",66,"regression",0.924277403269
"67","CPI-DNN",0.8,8357,"regression_combine",67,"regression",0.716501985409548
"68","CPI-DNN",0.8,8357,"regression_combine",68,"regression",0.98083848924185
"69","CPI-DNN",0.8,8357,"regression_combine",69,"regression",0.860190229938133
"70","CPI-DNN",0.8,8357,"regression_combine",70,"regression",0.849478252839605
"71","CPI-DNN",0.8,8357,"regression_combine",71,"regression",0.793794440853268
"72","CPI-DNN",0.8,8357,"regression_combine",72,"regression",0.893665158371041
"73","CPI-DNN",0.8,8357,"regression_combine",73,"regression",0.818358112475764
"74","CPI-DNN",0.8,8357,"regression_combine",74,"regression",0.863145258103241
"75","CPI-DNN",0.8,8357,"regression_combine",75,"regression",0.673146181549545
"76","CPI-DNN",0.8,8357,"regression_combine",76,"regression",0.934989380367533
"77","CPI-DNN",0.8,8357,"regression_combine",77,"regression",0.715763228368271
"78","CPI-DNN",0.8,8357,"regression_combine",78,"regression",0.881013944039164
"79","CPI-DNN",0.8,8357,"regression_combine",79,"regression",0.759442238433836
"80","CPI-DNN",0.8,8357,"regression_combine",80,"regression",0.97012651214332
"81","CPI-DNN",0.8,8357,"regression_combine",81,"regression",0.883322559793147
"82","CPI-DNN",0.8,8357,"regression_combine",82,"regression",0.902391725921136
"83","CPI-DNN",0.8,8357,"regression_combine",83,"regression",0.778372887616581
"84","CPI-DNN",0.8,8357,"regression_combine",84,"regression",0.898051528303635
"85","CPI-DNN",0.8,8357,"regression_combine",85,"regression",0.942561640040633
"86","CPI-DNN",0.8,8357,"regression_combine",86,"regression",0.990673192353864
"87","CPI-DNN",0.8,8357,"regression_combine",87,"regression",0.911580016622034
"88","CPI-DNN",0.8,8357,"regression_combine",88,"regression",0.944547049589068
"89","CPI-DNN",0.8,8357,"regression_combine",89,"regression",0.535090959460707
"90","CPI-DNN",0.8,8357,"regression_combine",90,"regression",0.98143872933789
"91","CPI-DNN",0.8,8357,"regression_combine",91,"regression",0.618201126604487
"92","CPI-DNN",0.8,8357,"regression_combine",92,"regression",0.89029457937021
"93","CPI-DNN",0.8,8357,"regression_combine",93,"regression",0.842598577892696
"94","CPI-DNN",0.8,8357,"regression_combine",94,"regression",0.670422014959829
"95","CPI-DNN",0.8,8357,"regression_combine",95,"regression",0.960615015236865
"96","CPI-DNN",0.8,8357,"regression_combine",96,"regression",0.785945147289688
"97","CPI-DNN",0.8,8357,"regression_combine",97,"regression",0.737741250346295
"98","CPI-DNN",0.8,8357,"regression_combine",98,"regression",0.861113676239728
"99","CPI-DNN",0.8,8357,"regression_combine",99,"regression",0.755240557761568
"100","CPI-DNN",0.8,8357,"regression_combine",100,"regression",0.86065195308893
"101","Permfit-DNN",0.8,8357,"regression_combine",1,"regression",0.735524979222461
"102","Permfit-DNN",0.8,8357,"regression_combine",2,"regression",0.525625634869335
"103","Permfit-DNN",0.8,8357,"regression_combine",3,"regression",0.609151352848835
"104","Permfit-DNN",0.8,8357,"regression_combine",4,"regression",0.593037214885957
"105","Permfit-DNN",0.8,8357,"regression_combine",5,"regression",0.736263736263739
"106","Permfit-DNN",0.8,8357,"regression_combine",6,"regression",0.649367439283407
"107","Permfit-DNN",0.8,8357,"regression_combine",7,"regression",0.64304183211746
"108","Permfit-DNN",0.8,8357,"regression_combine",8,"regression",0.596546310832025
"109","Permfit-DNN",0.8,8357,"regression_combine",9,"regression",0.797949949210455
"110","Permfit-DNN",0.8,8357,"regression_combine",10,"regression",0.604257087450368
"111","Permfit-DNN",0.8,8357,"regression_combine",11,"regression",0.581124757595349
"112","Permfit-DNN",0.8,8357,"regression_combine",12,"regression",0.599455166682057
"113","Permfit-DNN",0.8,8357,"regression_combine",13,"regression",0.682057438359963
"114","Permfit-DNN",0.8,8357,"regression_combine",14,"regression",0.493674392834057
"115","Permfit-DNN",0.8,8357,"regression_combine",15,"regression",0.722458214054849
"116","Permfit-DNN",0.8,8357,"regression_combine",16,"regression",0.668898328562196
"117","Permfit-DNN",0.8,8357,"regression_combine",17,"regression",0.643457382953184
"118","Permfit-DNN",0.8,8357,"regression_combine",18,"regression",0.530796934158279
