"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","CPI-DNN",0.8,1000,"regression",1,"regression",0.85
"2","CPI-DNN",0.8,1000,"regression",2,"regression",0.8
"3","CPI-DNN",0.8,1000,"regression",3,"regression",0.85
"4","CPI-DNN",0.8,1000,"regression",4,"regression",0.85
"5","CPI-DNN",0.8,1000,"regression",5,"regression",0.95
"6","CPI-DNN",0.8,1000,"regression",6,"regression",0.8
"7","CPI-DNN",0.8,1000,"regression",7,"regression",0.8
"8","CPI-DNN",0.8,1000,"regression",8,"regression",0.8
"9","CPI-DNN",0.8,1000,"regression",9,"regression",0.8
"10","CPI-DNN",0.8,1000,"regression",10,"regression",0.7
"11","CPI-DNN",0.8,1000,"regression",11,"regression",0.75
"12","CPI-DNN",0.8,1000,"regression",12,"regression",0.85
"13","CPI-DNN",0.8,1000,"regression",13,"regression",0.9
"14","CPI-DNN",0.8,1000,"regression",14,"regression",0.65
"15","CPI-DNN",0.8,1000,"regression",15,"regression",0.8
"16","CPI-DNN",0.8,1000,"regression",16,"regression",0.75
"17","CPI-DNN",0.8,1000,"regression",17,"regression",0.95
"18","CPI-DNN",0.8,1000,"regression",18,"regression",0.8
"19","CPI-DNN",0.8,1000,"regression",19,"regression",0.95
"20","CPI-DNN",0.8,1000,"regression",20,"regression",1
"21","CPI-DNN",0.8,1000,"regression",21,"regression",0.75
"22","CPI-DNN",0.8,1000,"regression",22,"regression",0.85
"23","CPI-DNN",0.8,1000,"regression",23,"regression",0.9
"24","CPI-DNN",0.8,1000,"regression",24,"regression",0.8
"25","CPI-DNN",0.8,1000,"regression",25,"regression",0.8
"26","CPI-DNN",0.8,1000,"regression",26,"regression",0.9
"27","CPI-DNN",0.8,1000,"regression",27,"regression",0.85
"28","CPI-DNN",0.8,1000,"regression",28,"regression",0.75
"29","CPI-DNN",0.8,1000,"regression",29,"regression",0.8
"30","CPI-DNN",0.8,1000,"regression",30,"regression",0.95
"31","CPI-DNN",0.8,1000,"regression",31,"regression",0.8
"32","CPI-DNN",0.8,1000,"regression",32,"regression",0.8
"33","CPI-DNN",0.8,1000,"regression",33,"regression",0.9
"34","CPI-DNN",0.8,1000,"regression",34,"regression",0.7
"35","CPI-DNN",0.8,1000,"regression",35,"regression",0.8
"36","CPI-DNN",0.8,1000,"regression",36,"regression",0.8
"37","CPI-DNN",0.8,1000,"regression",37,"regression",0.8
"38","CPI-DNN",0.8,1000,"regression",38,"regression",0.95
"39","CPI-DNN",0.8,1000,"regression",39,"regression",0.9
"40","CPI-DNN",0.8,1000,"regression",40,"regression",0.85
"41","CPI-DNN",0.8,1000,"regression",41,"regression",0.75
"42","CPI-DNN",0.8,1000,"regression",42,"regression",0.65
"43","CPI-DNN",0.8,1000,"regression",43,"regression",0.95
"44","CPI-DNN",0.8,1000,"regression",44,"regression",0.9
