,Method,correlation,n_samples,prob_data,iteration,V1
1,Permfit-DNN,0,300,regression_perm,1,0.4
2,Permfit-DNN,0,300,regression_perm,2,0.4
3,Permfit-DNN,0,300,regression_perm,3,0.6
4,Permfit-DNN,0,300,regression_perm,4,0.4
5,Permfit-DNN,0,300,regression_perm,5,0.4
6,Permfit-DNN,0,300,regression_perm,6,0.4
7,Permfit-DNN,0,300,regression_perm,7,0.4
8,Permfit-DNN,0,300,regression_perm,8,0.4
9,Permfit-DNN,0,300,regression_perm,9,0.4
10,Permfit-DNN,0,300,regression_perm,10,0.4
11,Permfit-DNN,0,300,regression_perm,11,0.4
12,Permfit-DNN,0,300,regression_perm,12,0.4
13,Permfit-DNN,0,300,regression_perm,13,0.6
14,Permfit-DNN,0,300,regression_perm,14,0.6
15,Permfit-DNN,0,300,regression_perm,15,0.4
16,Permfit-DNN,0,300,regression_perm,16,0.4
17,Permfit-DNN,0,300,regression_perm,17,0.4
18,Permfit-DNN,0,300,regression_perm,18,0.6
19,Permfit-DNN,0,300,regression_perm,19,0.6
20,Permfit-DNN,0,300,regression_perm,20,0.4
21,Permfit-DNN,0,300,regression_perm,21,0.4
22,Permfit-DNN,0,300,regression_perm,22,0.4
23,Permfit-DNN,0,300,regression_perm,23,0.6
24,Permfit-DNN,0,300,regression_perm,24,0.4
25,Permfit-DNN,0,300,regression_perm,25,0.4
26,Permfit-DNN,0,300,regression_perm,26,0.6
27,Permfit-DNN,0,300,regression_perm,27,0.4
28,Permfit-DNN,0,300,regression_perm,28,0.4
29,Permfit-DNN,0,300,regression_perm,29,0.6
30,Permfit-DNN,0,300,regression_perm,30,0.4
31,Permfit-DNN,0,300,regression_perm,31,0.4
32,Permfit-DNN,0,300,regression_perm,32,0.6
33,Permfit-DNN,0,300,regression_perm,33,0.4
34,Permfit-DNN,0,300,regression_perm,34,0.4
35,Permfit-DNN,0,300,regression_perm,35,0.4
36,Permfit-DNN,0,300,regression_perm,36,0.4
37,Permfit-DNN,0,300,regression_perm,37,0.4
38,Permfit-DNN,0,300,regression_perm,38,0.4
39,Permfit-DNN,0,300,regression_perm,39,0.4
40,Permfit-DNN,0,300,regression_perm,40,0.8
41,Permfit-DNN,0,300,regression_perm,41,0.4
42,Permfit-DNN,0,300,regression_perm,42,0.4
43,Permfit-DNN,0,300,regression_perm,43,0.6
44,Permfit-DNN,0,300,regression_perm,44,0.6
45,Permfit-DNN,0,300,regression_perm,45,0.4
46,Permfit-DNN,0,300,regression_perm,46,0.6
47,Permfit-DNN,0,300,regression_perm,47,0.4
48,Permfit-DNN,0,300,regression_perm,48,0.4
49,Permfit-DNN,0,300,regression_perm,49,0.4
50,Permfit-DNN,0,300,regression_perm,50,0.6
51,Permfit-DNN,0,300,regression_perm,51,0.6
52,Permfit-DNN,0,300,regression_perm,52,0.6
53,Permfit-DNN,0,300,regression_perm,53,0.4
54,Permfit-DNN,0,300,regression_perm,54,0.4
55,Permfit-DNN,0,300,regression_perm,55,0.6
56,Permfit-DNN,0,300,regression_perm,56,0.4
57,Permfit-DNN,0,300,regression_perm,57,0.4
58,Permfit-DNN,0,300,regression_perm,58,0.4
59,Permfit-DNN,0,300,regression_perm,59,0.4
60,Permfit-DNN,0,300,regression_perm,60,0.4
61,Permfit-DNN,0,300,regression_perm,61,0.4
62,Permfit-DNN,0,300,regression_perm,62,0.4
63,Permfit-DNN,0,300,regression_perm,63,0.6
64,Permfit-DNN,0,300,regression_perm,64,0.6
65,Permfit-DNN,0,300,regression_perm,65,0.4
66,Permfit-DNN,0,300,regression_perm,66,0.8
67,Permfit-DNN,0,300,regression_perm,67,0.4
68,Permfit-DNN,0,300,regression_perm,68,0.6
69,Permfit-DNN,0,300,regression_perm,69,0.4
70,Permfit-DNN,0,300,regression_perm,70,0.6
71,Permfit-DNN,0,300,regression_perm,71,0.4
72,Permfit-DNN,0,300,regression_perm,72,0.6
73,Permfit-DNN,0,300,regression_perm,73,0.4
74,Permfit-DNN,0,300,regression_perm,74,0.4
75,Permfit-DNN,0,300,regression_perm,75,0.4
76,Permfit-DNN,0,300,regression_perm,76,0.6
77,Permfit-DNN,0,300,regression_perm,77,0.4
78,Permfit-DNN,0,300,regression_perm,78,0.4
79,Permfit-DNN,0,300,regression_perm,79,0.8
80,Permfit-DNN,0,300,regression_perm,80,0.4
81,Permfit-DNN,0,300,regression_perm,81,0.4
82,Permfit-DNN,0,300,regression_perm,82,0.6
83,Permfit-DNN,0,300,regression_perm,83,0.4
84,Permfit-DNN,0,300,regression_perm,84,0.6
85,Permfit-DNN,0,300,regression_perm,85,0.4
86,Permfit-DNN,0,300,regression_perm,86,0.4
87,Permfit-DNN,0,300,regression_perm,87,0.4
88,Permfit-DNN,0,300,regression_perm,88,0.4
89,Permfit-DNN,0,300,regression_perm,89,0.4
90,Permfit-DNN,0,300,regression_perm,90,0.6
91,Permfit-DNN,0,300,regression_perm,91,0.4
92,Permfit-DNN,0,300,regression_perm,92,0.4
93,Permfit-DNN,0,300,regression_perm,93,0.4
94,Permfit-DNN,0,300,regression_perm,94,0.4
95,Permfit-DNN,0,300,regression_perm,95,0.4
96,Permfit-DNN,0,300,regression_perm,96,0.4
97,Permfit-DNN,0,300,regression_perm,97,0.8
98,Permfit-DNN,0,300,regression_perm,98,0.4
99,Permfit-DNN,0,300,regression_perm,99,0.4
100,Permfit-DNN,0,300,regression_perm,100,0.6
101,Permfit-DNN,0.2,300,regression_perm,1,0.4
102,Permfit-DNN,0.2,300,regression_perm,2,0.4
103,Permfit-DNN,0.2,300,regression_perm,3,0.4
104,Permfit-DNN,0.2,300,regression_perm,4,0.6
105,Permfit-DNN,0.2,300,regression_perm,5,0.4
106,Permfit-DNN,0.2,300,regression_perm,6,0.4
107,Permfit-DNN,0.2,300,regression_perm,7,0.4
108,Permfit-DNN,0.2,300,regression_perm,8,0.6
109,Permfit-DNN,0.2,300,regression_perm,9,0.4
110,Permfit-DNN,0.2,300,regression_perm,10,0.4
111,Permfit-DNN,0.2,300,regression_perm,11,0.4
112,Permfit-DNN,0.2,300,regression_perm,12,0.4
113,Permfit-DNN,0.2,300,regression_perm,13,0.4
114,Permfit-DNN,0.2,300,regression_perm,14,0.4
115,Permfit-DNN,0.2,300,regression_perm,15,0.8
116,Permfit-DNN,0.2,300,regression_perm,16,0.4
117,Permfit-DNN,0.2,300,regression_perm,17,0.4
118,Permfit-DNN,0.2,300,regression_perm,18,0.6
119,Permfit-DNN,0.2,300,regression_perm,19,0.6
120,Permfit-DNN,0.2,300,regression_perm,20,0.6
121,Permfit-DNN,0.2,300,regression_perm,21,0.6
122,Permfit-DNN,0.2,300,regression_perm,22,0.4
123,Permfit-DNN,0.2,300,regression_perm,23,0.4
124,Permfit-DNN,0.2,300,regression_perm,24,0.4
125,Permfit-DNN,0.2,300,regression_perm,25,0.4
126,Permfit-DNN,0.2,300,regression_perm,26,0.8
127,Permfit-DNN,0.2,300,regression_perm,27,0.4
128,Permfit-DNN,0.2,300,regression_perm,28,0.4
129,Permfit-DNN,0.2,300,regression_perm,29,0.4
130,Permfit-DNN,0.2,300,regression_perm,30,0.4
131,Permfit-DNN,0.2,300,regression_perm,31,0.4
132,Permfit-DNN,0.2,300,regression_perm,32,0.4
133,Permfit-DNN,0.2,300,regression_perm,33,0.4
134,Permfit-DNN,0.2,300,regression_perm,34,0.4
135,Permfit-DNN,0.2,300,regression_perm,35,0.4
136,Permfit-DNN,0.2,300,regression_perm,36,0.4
137,Permfit-DNN,0.2,300,regression_perm,37,0.4
138,Permfit-DNN,0.2,300,regression_perm,38,0.6
139,Permfit-DNN,0.2,300,regression_perm,39,0.4
140,Permfit-DNN,0.2,300,regression_perm,40,0.4
141,Permfit-DNN,0.2,300,regression_perm,41,0.4
142,Permfit-DNN,0.2,300,regression_perm,42,0.4
143,Permfit-DNN,0.2,300,regression_perm,43,0.6
144,Permfit-DNN,0.2,300,regression_perm,44,0.4
145,Permfit-DNN,0.2,300,regression_perm,45,0.6
146,Permfit-DNN,0.2,300,regression_perm,46,0.6
147,Permfit-DNN,0.2,300,regression_perm,47,0.4
148,Permfit-DNN,0.2,300,regression_perm,48,0.4
149,Permfit-DNN,0.2,300,regression_perm,49,0.6
150,Permfit-DNN,0.2,300,regression_perm,50,0.4
151,Permfit-DNN,0.2,300,regression_perm,51,0.6
152,Permfit-DNN,0.2,300,regression_perm,52,0.6
153,Permfit-DNN,0.2,300,regression_perm,53,0.6
154,Permfit-DNN,0.2,300,regression_perm,54,0.4
155,Permfit-DNN,0.2,300,regression_perm,55,0.6
156,Permfit-DNN,0.2,300,regression_perm,56,0.6
157,Permfit-DNN,0.2,300,regression_perm,57,0.6
158,Permfit-DNN,0.2,300,regression_perm,58,0.4
159,Permfit-DNN,0.2,300,regression_perm,59,0.4
160,Permfit-DNN,0.2,300,regression_perm,60,0.4
161,Permfit-DNN,0.2,300,regression_perm,61,0.4
162,Permfit-DNN,0.2,300,regression_perm,62,0.6
163,Permfit-DNN,0.2,300,regression_perm,63,0.6
164,Permfit-DNN,0.2,300,regression_perm,64,0.6
165,Permfit-DNN,0.2,300,regression_perm,65,0.6
166,Permfit-DNN,0.2,300,regression_perm,66,0.6
167,Permfit-DNN,0.2,300,regression_perm,67,0.4
168,Permfit-DNN,0.2,300,regression_perm,68,0.4
169,Permfit-DNN,0.2,300,regression_perm,69,0.4
170,Permfit-DNN,0.2,300,regression_perm,70,0.4
171,Permfit-DNN,0.2,300,regression_perm,71,0.4
172,Permfit-DNN,0.2,300,regression_perm,72,0.6
173,Permfit-DNN,0.2,300,regression_perm,73,0.4
174,Permfit-DNN,0.2,300,regression_perm,74,0.4
175,Permfit-DNN,0.2,300,regression_perm,75,0.6
176,Permfit-DNN,0.2,300,regression_perm,76,0.4
177,Permfit-DNN,0.2,300,regression_perm,77,0.4
178,Permfit-DNN,0.2,300,regression_perm,78,0.6
179,Permfit-DNN,0.2,300,regression_perm,79,0.6
180,Permfit-DNN,0.2,300,regression_perm,80,0.6
