"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","CPI-DNN",0.8,8357,"regression_combine",1,"regression",0.794117647058823
"2","CPI-DNN",0.8,8357,"regression_combine",2,"regression",0.294117647058824
"3","CPI-DNN",0.8,8357,"regression_combine",3,"regression",0.529411764705882
"4","CPI-DNN",0.8,8357,"regression_combine",4,"regression",0.617647058823529
"5","CPI-DNN",0.8,8357,"regression_combine",5,"regression",0.911764705882353
"6","CPI-DNN",0.8,8357,"regression_combine",6,"regression",0.852941176470588
"7","CPI-DNN",0.8,8357,"regression_combine",7,"regression",0.882352941176471
"8","CPI-DNN",0.8,8357,"regression_combine",8,"regression",0.617647058823529
"9","CPI-DNN",0.8,8357,"regression_combine",9,"regression",0.823529411764706
"10","CPI-DNN",0.8,8357,"regression_combine",10,"regression",0.617647058823529
"11","CPI-DNN",0.8,8357,"regression_combine",11,"regression",0.676470588235294
"12","CPI-DNN",0.8,8357,"regression_combine",12,"regression",0.323529411764706
"13","CPI-DNN",0.8,8357,"regression_combine",13,"regression",0.911764705882353
"14","CPI-DNN",0.8,8357,"regression_combine",14,"regression",0.117647058823529
"15","CPI-DNN",0.8,8357,"regression_combine",15,"regression",0.617647058823529
"16","CPI-DNN",0.8,8357,"regression_combine",16,"regression",0.823529411764706
"17","CPI-DNN",0.8,8357,"regression_combine",17,"regression",0.676470588235294
"18","CPI-DNN",0.8,8357,"regression_combine",18,"regression",0.588235294117647
"19","CPI-DNN",0.8,8357,"regression_combine",19,"regression",0.823529411764706
"20","CPI-DNN",0.8,8357,"regression_combine",20,"regression",0.794117647058823
"21","CPI-DNN",0.8,8357,"regression_combine",21,"regression",0.705882352941177
"22","CPI-DNN",0.8,8357,"regression_combine",22,"regression",0.911764705882353
"23","CPI-DNN",0.8,8357,"regression_combine",23,"regression",0.529411764705882
"24","CPI-DNN",0.8,8357,"regression_combine",24,"regression",1
"25","CPI-DNN",0.8,8357,"regression_combine",25,"regression",0.852941176470588
"26","CPI-DNN",0.8,8357,"regression_combine",26,"regression",0.911764705882353
"27","CPI-DNN",0.8,8357,"regression_combine",27,"regression",0.647058823529412
"28","CPI-DNN",0.8,8357,"regression_combine",28,"regression",0.529411764705882
"29","CPI-DNN",0.8,8357,"regression_combine",29,"regression",0.647058823529412
"30","CPI-DNN",0.8,8357,"regression_combine",30,"regression",0.735294117647059
"31","CPI-DNN",0.8,8357,"regression_combine",31,"regression",0.294117647058824
"32","CPI-DNN",0.8,8357,"regression_combine",32,"regression",0.676470588235294
"33","CPI-DNN",0.8,8357,"regression_combine",33,"regression",0.147058823529412
"34","CPI-DNN",0.8,8357,"regression_combine",34,"regression",0.911764705882353
"35","CPI-DNN",0.8,8357,"regression_combine",35,"regression",0.735294117647059
"36","CPI-DNN",0.8,8357,"regression_combine",36,"regression",0.588235294117647
"37","CPI-DNN",0.8,8357,"regression_combine",37,"regression",0.617647058823529
"38","CPI-DNN",0.8,8357,"regression_combine",38,"regression",0.529411764705882
"39","CPI-DNN",0.8,8357,"regression_combine",39,"regression",0.882352941176471
"40","CPI-DNN",0.8,8357,"regression_combine",40,"regression",0.911764705882353
"41","CPI-DNN",0.8,8357,"regression_combine",41,"regression",0.617647058823529
"42","CPI-DNN",0.8,8357,"regression_combine",42,"regression",0.705882352941177
"43","CPI-DNN",0.8,8357,"regression_combine",43,"regression",0.941176470588235
"44","CPI-DNN",0.8,8357,"regression_combine",44,"regression",0.294117647058824
"45","CPI-DNN",0.8,8357,"regression_combine",45,"regression",0.558823529411765
"46","CPI-DNN",0.8,8357,"regression_combine",46,"regression",0.588235294117647
"47","CPI-DNN",0.8,8357,"regression_combine",47,"regression",0.382352941176471
"48","CPI-DNN",0.8,8357,"regression_combine",48,"regression",0.411764705882353
"49","CPI-DNN",0.8,8357,"regression_combine",49,"regression",0.588235294117647
"50","CPI-DNN",0.8,8357,"regression_combine",50,"regression",0.529411764705882
"51","CPI-DNN",0.8,8357,"regression_combine",51,"regression",0.617647058823529
"52","CPI-DNN",0.8,8357,"regression_combine",52,"regression",0.676470588235294
"53","CPI-DNN",0.8,8357,"regression_combine",53,"regression",0.558823529411765
"54","CPI-DNN",0.8,8357,"regression_combine",54,"regression",0.294117647058824
"55","CPI-DNN",0.8,8357,"regression_combine",55,"regression",0.617647058823529
"56","CPI-DNN",0.8,8357,"regression_combine",56,"regression",0.676470588235294
"57","CPI-DNN",0.8,8357,"regression_combine",57,"regression",0.382352941176471
"58","CPI-DNN",0.8,8357,"regression_combine",58,"regression",0.882352941176471
"59","CPI-DNN",0.8,8357,"regression_combine",59,"regression",0.735294117647059
"60","CPI-DNN",0.8,8357,"regression_combine",60,"regression",0.823529411764706
"61","CPI-DNN",0.8,8357,"regression_combine",61,"regression",0.823529411764706
"62","CPI-DNN",0.8,8357,"regression_combine",62,"regression",0.794117647058823
"63","CPI-DNN",0.8,8357,"regression_combine",63,"regression",0.558823529411765
"64","CPI-DNN",0.8,8357,"regression_combine",64,"regression",0.558823529411765
"65","CPI-DNN",0.8,8357,"regression_combine",65,"regression",0.735294117647059
"66","CPI-DNN",0.8,8357,"regression_combine",66,"regression",0.705882352941177
"67","CPI-DNN",0.8,8357,"regression_combine",67,"regression",0.117647058823529
"68","CPI-DNN",0.8,8357,"regression_combine",68,"regression",0.852941176470588
"69","CPI-DNN",0.8,8357,"regression_combine",69,"regression",0.764705882352941
"70","CPI-DNN",0.8,8357,"regression_combine",70,"regression",0.647058823529412
"71","CPI-DNN",0.8,8357,"regression_combine",71,"regression",0.617647058823529
"72","CPI-DNN",0.8,8357,"regression_combine",72,"regression",0.676470588235294
"73","CPI-DNN",0.8,8357,"regression_combine",73,"regression",0.352941176470588
"74","CPI-DNN",0.8,8357,"regression_combine",74,"regression",0.617647058823529
"75","CPI-DNN",0.8,8357,"regression_combine",75,"regression",0.382352941176471
"76","CPI-DNN",0.8,8357,"regression_combine",76,"regression",0.852941176470588
"77","CPI-DNN",0.8,8357,"regression_combine",77,"regression",0.617647058823529
"78","CPI-DNN",0.8,8357,"regression_combine",78,"regression",0.735294117647059
