,Method,correlation_group,n_samples,prob_data,iteration,group_stack,V1
1,CPI-DNN,0,1000,regression_group_sim_1,1,TRUE,1
2,CPI-DNN,0,1000,regression_group_sim_1,2,TRUE,1
3,CPI-DNN,0,1000,regression_group_sim_1,3,TRUE,1
4,CPI-DNN,0,1000,regression_group_sim_1,4,TRUE,1
5,CPI-DNN,0,1000,regression_group_sim_1,5,TRUE,1
6,CPI-DNN,0,1000,regression_group_sim_1,6,TRUE,1
7,CPI-DNN,0,1000,regression_group_sim_1,7,TRUE,1
8,CPI-DNN,0,1000,regression_group_sim_1,8,TRUE,1
9,CPI-DNN,0,1000,regression_group_sim_1,9,TRUE,1
10,CPI-DNN,0,1000,regression_group_sim_1,10,TRUE,1
11,CPI-DNN,0,1000,regression_group_sim_1,11,TRUE,1
12,CPI-DNN,0,1000,regression_group_sim_1,12,TRUE,1
13,CPI-DNN,0,1000,regression_group_sim_1,13,TRUE,1
14,CPI-DNN,0,1000,regression_group_sim_1,14,TRUE,1
15,CPI-DNN,0,1000,regression_group_sim_1,15,TRUE,1
16,CPI-DNN,0,1000,regression_group_sim_1,16,TRUE,1
17,CPI-DNN,0,1000,regression_group_sim_1,17,TRUE,1
18,CPI-DNN,0,1000,regression_group_sim_1,18,TRUE,1
19,CPI-DNN,0,1000,regression_group_sim_1,19,TRUE,1
20,CPI-DNN,0,1000,regression_group_sim_1,20,TRUE,1
21,CPI-DNN,0,1000,regression_group_sim_1,21,TRUE,1
22,CPI-DNN,0,1000,regression_group_sim_1,22,TRUE,1
23,CPI-DNN,0,1000,regression_group_sim_1,23,TRUE,1
24,CPI-DNN,0,1000,regression_group_sim_1,24,TRUE,1
25,CPI-DNN,0,1000,regression_group_sim_1,25,TRUE,1
26,CPI-DNN,0,1000,regression_group_sim_1,26,TRUE,1
27,CPI-DNN,0,1000,regression_group_sim_1,27,TRUE,1
28,CPI-DNN,0,1000,regression_group_sim_1,28,TRUE,1
29,CPI-DNN,0,1000,regression_group_sim_1,29,TRUE,1
30,CPI-DNN,0,1000,regression_group_sim_1,30,TRUE,1
31,CPI-DNN,0,1000,regression_group_sim_1,31,TRUE,1
32,CPI-DNN,0,1000,regression_group_sim_1,32,TRUE,1
33,CPI-DNN,0,1000,regression_group_sim_1,33,TRUE,1
34,CPI-DNN,0,1000,regression_group_sim_1,34,TRUE,1
35,CPI-DNN,0,1000,regression_group_sim_1,35,TRUE,1
36,CPI-DNN,0,1000,regression_group_sim_1,36,TRUE,1
37,CPI-DNN,0,1000,regression_group_sim_1,37,TRUE,1
38,CPI-DNN,0,1000,regression_group_sim_1,38,TRUE,1
39,CPI-DNN,0,1000,regression_group_sim_1,39,TRUE,1
40,CPI-DNN,0,1000,regression_group_sim_1,40,TRUE,1
41,CPI-DNN,0,1000,regression_group_sim_1,41,TRUE,1
42,CPI-DNN,0,1000,regression_group_sim_1,42,TRUE,1
43,CPI-DNN,0,1000,regression_group_sim_1,43,TRUE,1
44,CPI-DNN,0,1000,regression_group_sim_1,44,TRUE,1
45,CPI-DNN,0,1000,regression_group_sim_1,45,TRUE,1
46,CPI-DNN,0,1000,regression_group_sim_1,46,TRUE,1
47,CPI-DNN,0,1000,regression_group_sim_1,47,TRUE,1
48,CPI-DNN,0,1000,regression_group_sim_1,48,TRUE,1
49,CPI-DNN,0,1000,regression_group_sim_1,49,TRUE,1
50,CPI-DNN,0,1000,regression_group_sim_1,50,TRUE,1
51,CPI-DNN,0,1000,regression_group_sim_1,51,TRUE,1
52,CPI-DNN,0,1000,regression_group_sim_1,52,TRUE,1
53,CPI-DNN,0,1000,regression_group_sim_1,53,TRUE,1
54,CPI-DNN,0,1000,regression_group_sim_1,54,TRUE,1
55,CPI-DNN,0,1000,regression_group_sim_1,55,TRUE,1
56,CPI-DNN,0,1000,regression_group_sim_1,56,TRUE,1
57,CPI-DNN,0,1000,regression_group_sim_1,57,TRUE,1
58,CPI-DNN,0,1000,regression_group_sim_1,58,TRUE,1
59,CPI-DNN,0,1000,regression_group_sim_1,59,TRUE,1
60,CPI-DNN,0,1000,regression_group_sim_1,60,TRUE,1
61,CPI-DNN,0,1000,regression_group_sim_1,61,TRUE,1
62,CPI-DNN,0,1000,regression_group_sim_1,62,TRUE,1
63,CPI-DNN,0,1000,regression_group_sim_1,63,TRUE,1
64,CPI-DNN,0,1000,regression_group_sim_1,64,TRUE,1
65,CPI-DNN,0,1000,regression_group_sim_1,65,TRUE,1
66,CPI-DNN,0,1000,regression_group_sim_1,66,TRUE,1
67,CPI-DNN,0,1000,regression_group_sim_1,67,TRUE,1
68,CPI-DNN,0,1000,regression_group_sim_1,68,TRUE,1
69,CPI-DNN,0,1000,regression_group_sim_1,69,TRUE,1
70,CPI-DNN,0,1000,regression_group_sim_1,70,TRUE,1
71,CPI-DNN,0,1000,regression_group_sim_1,71,TRUE,1
72,CPI-DNN,0,1000,regression_group_sim_1,72,TRUE,1
73,CPI-DNN,0,1000,regression_group_sim_1,73,TRUE,1
74,CPI-DNN,0,1000,regression_group_sim_1,74,TRUE,1
75,CPI-DNN,0,1000,regression_group_sim_1,75,TRUE,1
76,CPI-DNN,0,1000,regression_group_sim_1,76,TRUE,1
77,CPI-DNN,0,1000,regression_group_sim_1,77,TRUE,1
78,CPI-DNN,0,1000,regression_group_sim_1,78,TRUE,1
79,CPI-DNN,0,1000,regression_group_sim_1,79,TRUE,1
80,CPI-DNN,0,1000,regression_group_sim_1,80,TRUE,1
81,CPI-DNN,0,1000,regression_group_sim_1,81,TRUE,1
82,CPI-DNN,0,1000,regression_group_sim_1,82,TRUE,1
83,CPI-DNN,0,1000,regression_group_sim_1,83,TRUE,1
