method,importance,p_value,score,elapsed,correlation,correlation_group,n_samples,prob_data,group_based,group_stack,iteration
CPI-DNN,0.143768870349535,0.0275636515231799,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,2.13716654177458,2.35127669953831e-18,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.934545229966113,1.16363391074045e-08,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.18546766176109,0.00135646660165774,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.136742336082355,0.00383326996589735,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.00150627797217929,0.488217207563346,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,1.07955763954773,1.56632168586994e-09,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,2.53437447621865,6.0338764577395e-20,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.082824182611715,0.00663644647804221,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.222440384811983,0.0011000590854638,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,2.16874531991996,9.33613834140588e-19,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.0347642387052783,0.235016678076176,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,2.30104178560748,9.17153499849681e-21,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.34583014229878,0.0014808949452693,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.0609684522856495,0.102360828322829,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.425521988031304,1.69743908513963e-05,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,1.36287118166019,2.82293964059401e-12,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,2.05280307584102,1.73185892622189e-19,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.13577168767671,0.000457170293322155,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.23142410854075,0.00285047905275769,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0485538540612534,0.997526088860898,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0325103509592239,0.830309616671865,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0517186898955167,0.998422659884159,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.00779924857522138,0.633558155591125,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
