method,score,elapsed,correlation,n_samples,prob_data,iteration,importance,p_value
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,16.108022040749823,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,14.445559274144994,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,6.916248133069603,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,1.5830749245916695,9.534438889167099e-256
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,1.9710781421373358,3.015486993376517e-307
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,1.457716899361628,3.5137961147813872e-239
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,15.806736509996897,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.27780762058157904,4.59444294174584e-44
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.64835538635949,1.9329759589285962e-102
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,1.6626979207789643,4.340537473482917e-268
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,16.590575063745973,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.3847399216082651,1.6745730469952557e-68
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,7.389030151700208,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.42700001029253953,4.9142525368231795e-73
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.3158894760759978,3.746596056299567e-59
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,1.8948337422227963,3.912512907869961e-305
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,17.42466304640647,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,1.4028136256108592,9.205265647408396e-236
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,7.662375081756452,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,17.48086416598691,0.0
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.012520533004051867,0.04057289839393444
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,-0.0007372635115432602,0.6008931511237758
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.009716596332847277,0.01700886228602808
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.002417321820704666,0.23723437517866053
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.00709054628173193,0.04930080922315261
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.0036458287865635056,0.2612944374709699
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.011042293099069152,0.0013414083107156532
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.028245802405240078,2.7586872233528032e-08
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.00018992646143909547,0.47623693855795
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.0028779149488046742,0.22819423252103543
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.006638355044545645,0.08185235741275765
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.007481085082514582,0.043159654267357773
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.011706465698516286,0.00039244215752872483
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.006046120012888836,0.06610108752425829
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.014844573305560788,0.0009148203955254686
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.0028151992130427054,0.2670668081332875
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.025976579336457452,2.6492281126627514e-05
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.013894333331418738,0.00027459817922338627
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.02628711714826576,5.010456048526626e-06
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.02973754375617052,2.7833464897121825e-08
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.02693148995919137,4.227552820636331e-08
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.03318480416019895,4.624976941313446e-06
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.04045569217031137,1.7737328409415185e-07
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.025733361713309942,8.387264612129539e-07
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.01630950325134785,0.0007893054969488771
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.014756628631530046,0.0028863084777094304
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.02144355021907873,4.9678391004229565e-05
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.03798138546720863,1.548191485057558e-09
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.03746576092041192,4.354351373129599e-08
Permfit-DNN,0.9371671854660067,20022.791022777557,0.8,10000,regression_combine,1,0.07038806089306396,5.5435363095704695e-12
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,1.210861992991803,0.0
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,1.3682664645303746,0.0
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,0.4877663842768559,2.7310598772438654e-144
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,17.06672039933857,0.0
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,1.2387673398278716,0.0
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,7.308366362670185,0.0
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,0.43882020022088036,2.665414118694928e-137
Permfit-DNN,0.9382332362287109,20089.564915895462,0.8,10000,regression_combine,2,7.521576074953024,0.0
