"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","CPI-DNN",0.8,1000,"regression",1,"regression",0
"2","CPI-DNN",0.8,1000,"regression",2,"regression",0
"3","CPI-DNN",0.8,1000,"regression",3,"regression",0.0333333333333333
"4","CPI-DNN",0.8,1000,"regression",4,"regression",0.0333333333333333
"5","CPI-DNN",0.8,1000,"regression",5,"regression",0.0333333333333333
"6","CPI-DNN",0.8,1000,"regression",6,"regression",0
"7","CPI-DNN",0.8,1000,"regression",7,"regression",0
"8","CPI-DNN",0.8,1000,"regression",8,"regression",0
"9","CPI-DNN",0.8,1000,"regression",9,"regression",0.0333333333333333
"10","CPI-DNN",0.8,1000,"regression",10,"regression",0.0333333333333333
"11","CPI-DNN",0.8,1000,"regression",11,"regression",0
"12","CPI-DNN",0.8,1000,"regression",12,"regression",0.0333333333333333
"13","CPI-DNN",0.8,1000,"regression",13,"regression",0.0333333333333333
"14","CPI-DNN",0.8,1000,"regression",14,"regression",0.0666666666666667
"15","CPI-DNN",0.8,1000,"regression",15,"regression",0.0333333333333333
"16","CPI-DNN",0.8,1000,"regression",16,"regression",0
"17","CPI-DNN",0.8,1000,"regression",17,"regression",0.0666666666666667
"18","CPI-DNN",0.8,1000,"regression",18,"regression",0.0333333333333333
"19","CPI-DNN",0.8,1000,"regression",19,"regression",0
"20","CPI-DNN",0.8,1000,"regression",20,"regression",0.0333333333333333
"21","CPI-DNN",0.8,1000,"regression",21,"regression",0
"22","CPI-DNN",0.8,1000,"regression",22,"regression",0
"23","CPI-DNN",0.8,1000,"regression",23,"regression",0
"24","CPI-DNN",0.8,1000,"regression",24,"regression",0
"25","CPI-DNN",0.8,1000,"regression",25,"regression",0
"26","CPI-DNN",0.8,1000,"regression",26,"regression",0
"27","CPI-DNN",0.8,1000,"regression",27,"regression",0
"28","CPI-DNN",0.8,1000,"regression",28,"regression",0
"29","CPI-DNN",0.8,1000,"regression",29,"regression",0
"30","CPI-DNN",0.8,1000,"regression",30,"regression",0
"31","CPI-DNN",0.8,1000,"regression",31,"regression",0.0333333333333333
"32","CPI-DNN",0.8,1000,"regression",32,"regression",0
"33","CPI-DNN",0.8,1000,"regression",33,"regression",0.0333333333333333
"34","CPI-DNN",0.8,1000,"regression",34,"regression",0
"35","CPI-DNN",0.8,1000,"regression",35,"regression",0.0666666666666667
"36","CPI-DNN",0.8,1000,"regression",36,"regression",0
"37","CPI-DNN",0.8,1000,"regression",37,"regression",0
"38","CPI-DNN",0.8,1000,"regression",38,"regression",0
"39","CPI-DNN",0.8,1000,"regression",39,"regression",0
"40","CPI-DNN",0.8,1000,"regression",40,"regression",0.0333333333333333
"41","CPI-DNN",0.8,1000,"regression",41,"regression",0.0333333333333333
"42","CPI-DNN",0.8,1000,"regression",42,"regression",0
"43","CPI-DNN",0.8,1000,"regression",43,"regression",0.0666666666666667
"44","CPI-DNN",0.8,1000,"regression",44,"regression",0
"45","CPI-DNN",0.8,1000,"regression",45,"regression",0
"46","CPI-DNN",0.8,1000,"regression",46,"regression",0.0333333333333333
"47","CPI-DNN",0.8,1000,"regression",47,"regression",0
"48","CPI-DNN",0.8,1000,"regression",48,"regression",0.0333333333333333
"49","CPI-DNN",0.8,1000,"regression",49,"regression",0
"50","CPI-DNN",0.8,1000,"regression",50,"regression",0
"51","CPI-DNN",0.8,1000,"regression",51,"regression",0
"52","CPI-DNN",0.8,1000,"regression",52,"regression",0
"53","CPI-DNN",0.8,1000,"regression",53,"regression",0.0666666666666667
"54","CPI-DNN",0.8,1000,"regression",54,"regression",0
"55","CPI-DNN",0.8,1000,"regression",55,"regression",0.0333333333333333
"56","CPI-DNN",0.8,1000,"regression",56,"regression",0.0333333333333333
"57","CPI-DNN",0.8,1000,"regression",57,"regression",0.0333333333333333
"58","CPI-DNN",0.8,1000,"regression",58,"regression",0
"59","CPI-DNN",0.8,1000,"regression",59,"regression",0
"60","CPI-DNN",0.8,1000,"regression",60,"regression",0.0333333333333333
"61","CPI-DNN",0.8,1000,"regression",61,"regression",0
"62","CPI-DNN",0.8,1000,"regression",62,"regression",0
"63","CPI-DNN",0.8,1000,"regression",63,"regression",0.0333333333333333
"64","CPI-DNN",0.8,1000,"regression",64,"regression",0.0666666666666667
"65","CPI-DNN",0.8,1000,"regression",65,"regression",0
"66","CPI-DNN",0.8,1000,"regression",66,"regression",0
"67","CPI-DNN",0.8,1000,"regression",67,"regression",0
"68","CPI-DNN",0.8,1000,"regression",68,"regression",0.0333333333333333
"69","CPI-DNN",0.8,1000,"regression",69,"regression",0
"70","CPI-DNN",0.8,1000,"regression",70,"regression",0.0333333333333333
"71","CPI-DNN",0.8,1000,"regression",71,"regression",0
"72","CPI-DNN",0.8,1000,"regression",72,"regression",0.0666666666666667
"73","CPI-DNN",0.8,1000,"regression",73,"regression",0.0333333333333333
"74","CPI-DNN",0.8,1000,"regression",74,"regression",0.0333333333333333
"75","CPI-DNN",0.8,1000,"regression",75,"regression",0
"76","CPI-DNN",0.8,1000,"regression",76,"regression",0
"77","CPI-DNN",0.8,1000,"regression",77,"regression",0
"78","CPI-DNN",0.8,1000,"regression",78,"regression",0
"79","CPI-DNN",0.8,1000,"regression",79,"regression",0.0333333333333333
"80","CPI-DNN",0.8,1000,"regression",80,"regression",0.0333333333333333
"81","CPI-DNN",0.8,1000,"regression",81,"regression",0
"82","CPI-DNN",0.8,1000,"regression",82,"regression",0.0666666666666667
"83","CPI-DNN",0.8,1000,"regression",83,"regression",0
"84","CPI-DNN",0.8,1000,"regression",84,"regression",0
"85","CPI-DNN",0.8,1000,"regression",85,"regression",0
"86","CPI-DNN",0.8,1000,"regression",86,"regression",0
"87","CPI-DNN",0.8,1000,"regression",87,"regression",0
"88","CPI-DNN",0.8,1000,"regression",88,"regression",0.0333333333333333
"89","CPI-DNN",0.8,1000,"regression",89,"regression",0
"90","CPI-DNN",0.8,1000,"regression",90,"regression",0.0666666666666667
"91","CPI-DNN",0.8,1000,"regression",91,"regression",0
"92","CPI-DNN",0.8,1000,"regression",92,"regression",0
"93","CPI-DNN",0.8,1000,"regression",93,"regression",0.0333333333333333
"94","CPI-DNN",0.8,1000,"regression",94,"regression",0.0333333333333333
"95","CPI-DNN",0.8,1000,"regression",95,"regression",0.0333333333333333
"96","CPI-DNN",0.8,1000,"regression",96,"regression",0.0333333333333333
"97","CPI-DNN",0.8,1000,"regression",97,"regression",0
"98","CPI-DNN",0.8,1000,"regression",98,"regression",0.0333333333333333
"99","CPI-DNN",0.8,1000,"regression",99,"regression",0.0333333333333333
"100","CPI-DNN",0.8,1000,"regression",100,"regression",0.0333333333333333
"101","LOCO-DNN",0.8,1000,"regression",1,"regression",0.166666666666667
"102","LOCO-DNN",0.8,1000,"regression",2,"regression",0
"103","LOCO-DNN",0.8,1000,"regression",3,"regression",0.166666666666667
"104","LOCO-DNN",0.8,1000,"regression",4,"regression",0.0333333333333333
"105","LOCO-DNN",0.8,1000,"regression",5,"regression",0.3
"106","LOCO-DNN",0.8,1000,"regression",6,"regression",0.0666666666666667
"107","LOCO-DNN",0.8,1000,"regression",7,"regression",0
"108","LOCO-DNN",0.8,1000,"regression",8,"regression",0.5
"109","LOCO-DNN",0.8,1000,"regression",9,"regression",0
"110","LOCO-DNN",0.8,1000,"regression",10,"regression",0.3
"111","LOCO-DNN",0.8,1000,"regression",11,"regression",0
"112","LOCO-DNN",0.8,1000,"regression",12,"regression",0.0666666666666667
"113","LOCO-DNN",0.8,1000,"regression",13,"regression",0.0333333333333333
"114","LOCO-DNN",0.8,1000,"regression",14,"regression",0
"115","LOCO-DNN",0.8,1000,"regression",15,"regression",0.2
"116","LOCO-DNN",0.8,1000,"regression",16,"regression",0
"117","LOCO-DNN",0.8,1000,"regression",17,"regression",0
"118","LOCO-DNN",0.8,1000,"regression",18,"regression",0.333333333333333
"119","LOCO-DNN",0.8,1000,"regression",19,"regression",0
"120","LOCO-DNN",0.8,1000,"regression",20,"regression",0
"121","LOCO-DNN",0.8,1000,"regression",21,"regression",0.0333333333333333
"122","LOCO-DNN",0.8,1000,"regression",22,"regression",0
"123","LOCO-DNN",0.8,1000,"regression",23,"regression",0
"124","LOCO-DNN",0.8,1000,"regression",24,"regression",0.0333333333333333
"125","LOCO-DNN",0.8,1000,"regression",25,"regression",0
"126","LOCO-DNN",0.8,1000,"regression",26,"regression",0.0333333333333333
"127","LOCO-DNN",0.8,1000,"regression",27,"regression",0
"128","LOCO-DNN",0.8,1000,"regression",28,"regression",0.2
"129","LOCO-DNN",0.8,1000,"regression",29,"regression",0
"130","LOCO-DNN",0.8,1000,"regression",30,"regression",0
"131","LOCO-DNN",0.8,1000,"regression",31,"regression",0
"132","LOCO-DNN",0.8,1000,"regression",32,"regression",0.833333333333333
"133","LOCO-DNN",0.8,1000,"regression",33,"regression",0
"134","LOCO-DNN",0.8,1000,"regression",34,"regression",0
"135","LOCO-DNN",0.8,1000,"regression",35,"regression",0
"136","LOCO-DNN",0.8,1000,"regression",36,"regression",0
"137","LOCO-DNN",0.8,1000,"regression",37,"regression",0.266666666666667
"138","LOCO-DNN",0.8,1000,"regression",38,"regression",0
"139","LOCO-DNN",0.8,1000,"regression",39,"regression",0.133333333333333
"140","LOCO-DNN",0.8,1000,"regression",40,"regression",0
"141","LOCO-DNN",0.8,1000,"regression",41,"regression",0.0666666666666667
"142","LOCO-DNN",0.8,1000,"regression",42,"regression",0
"143","LOCO-DNN",0.8,1000,"regression",43,"regression",0
"144","LOCO-DNN",0.8,1000,"regression",44,"regression",0
"145","LOCO-DNN",0.8,1000,"regression",45,"regression",0.266666666666667
"146","LOCO-DNN",0.8,1000,"regression",46,"regression",0.233333333333333
"147","LOCO-DNN",0.8,1000,"regression",47,"regression",0
"148","LOCO-DNN",0.8,1000,"regression",48,"regression",0
"149","LOCO-DNN",0.8,1000,"regression",49,"regression",0.1
"150","LOCO-DNN",0.8,1000,"regression",50,"regression",0
"151","LOCO-DNN",0.8,1000,"regression",51,"regression",0
"152","LOCO-DNN",0.8,1000,"regression",52,"regression",0.133333333333333
"153","LOCO-DNN",0.8,1000,"regression",53,"regression",0.3
"154","LOCO-DNN",0.8,1000,"regression",54,"regression",0
"155","LOCO-DNN",0.8,1000,"regression",55,"regression",0
"156","LOCO-DNN",0.8,1000,"regression",56,"regression",0
"157","LOCO-DNN",0.8,1000,"regression",57,"regression",0
"158","LOCO-DNN",0.8,1000,"regression",58,"regression",0
"159","LOCO-DNN",0.8,1000,"regression",59,"regression",0.1
"160","LOCO-DNN",0.8,1000,"regression",60,"regression",0.0333333333333333
"161","LOCO-DNN",0.8,1000,"regression",61,"regression",0
"162","LOCO-DNN",0.8,1000,"regression",62,"regression",0.1
"163","LOCO-DNN",0.8,1000,"regression",63,"regression",0
"164","LOCO-DNN",0.8,1000,"regression",64,"regression",0.166666666666667
"165","LOCO-DNN",0.8,1000,"regression",65,"regression",0.366666666666667
"166","LOCO-DNN",0.8,1000,"regression",66,"regression",0.0333333333333333
"167","LOCO-DNN",0.8,1000,"regression",67,"regression",0.0333333333333333
