,Method,correlation,n_samples,prob_data,iteration,V1
1,Permfit-DNN,0,300,regression_perm,1,0.08421052631579
2,Permfit-DNN,0,300,regression_perm,2,0.063157894736842
3,Permfit-DNN,0,300,regression_perm,3,0.063157894736842
4,Permfit-DNN,0,300,regression_perm,4,0.094736842105263
5,Permfit-DNN,0,300,regression_perm,5,0.052631578947368
6,Permfit-DNN,0,300,regression_perm,6,0.031578947368421
7,Permfit-DNN,0,300,regression_perm,7,0.063157894736842
8,Permfit-DNN,0,300,regression_perm,8,0.063157894736842
9,Permfit-DNN,0,300,regression_perm,9,0.115789473684211
10,Permfit-DNN,0,300,regression_perm,10,0.073684210526316
11,Permfit-DNN,0,300,regression_perm,11,0.08421052631579
12,Permfit-DNN,0,300,regression_perm,12,0.052631578947368
13,Permfit-DNN,0,300,regression_perm,13,0.073684210526316
14,Permfit-DNN,0,300,regression_perm,14,0.063157894736842
15,Permfit-DNN,0,300,regression_perm,15,0.08421052631579
16,Permfit-DNN,0,300,regression_perm,16,0.157894736842105
17,Permfit-DNN,0,300,regression_perm,17,0.021052631578947
18,Permfit-DNN,0,300,regression_perm,18,0.115789473684211
19,Permfit-DNN,0,300,regression_perm,19,0.063157894736842
20,Permfit-DNN,0,300,regression_perm,20,0.031578947368421
21,Permfit-DNN,0,300,regression_perm,21,0.063157894736842
22,Permfit-DNN,0,300,regression_perm,22,0.031578947368421
23,Permfit-DNN,0,300,regression_perm,23,0.08421052631579
24,Permfit-DNN,0,300,regression_perm,24,0.073684210526316
25,Permfit-DNN,0,300,regression_perm,25,0.094736842105263
26,Permfit-DNN,0,300,regression_perm,26,0.010526315789474
27,Permfit-DNN,0,300,regression_perm,27,0.073684210526316
28,Permfit-DNN,0,300,regression_perm,28,0.031578947368421
29,Permfit-DNN,0,300,regression_perm,29,0.073684210526316
30,Permfit-DNN,0,300,regression_perm,30,0.126315789473684
31,Permfit-DNN,0,300,regression_perm,31,0.042105263157895
32,Permfit-DNN,0,300,regression_perm,32,0.021052631578947
33,Permfit-DNN,0,300,regression_perm,33,0.08421052631579
34,Permfit-DNN,0,300,regression_perm,34,0.042105263157895
35,Permfit-DNN,0,300,regression_perm,35,0.052631578947368
36,Permfit-DNN,0,300,regression_perm,36,0.031578947368421
37,Permfit-DNN,0,300,regression_perm,37,0.073684210526316
38,Permfit-DNN,0,300,regression_perm,38,0.042105263157895
39,Permfit-DNN,0,300,regression_perm,39,0.052631578947368
40,Permfit-DNN,0,300,regression_perm,40,0.094736842105263
41,Permfit-DNN,0,300,regression_perm,41,0.042105263157895
42,Permfit-DNN,0,300,regression_perm,42,0.063157894736842
43,Permfit-DNN,0,300,regression_perm,43,0.063157894736842
44,Permfit-DNN,0,300,regression_perm,44,0.052631578947368
45,Permfit-DNN,0,300,regression_perm,45,0.052631578947368
46,Permfit-DNN,0,300,regression_perm,46,0.052631578947368
47,Permfit-DNN,0,300,regression_perm,47,0.073684210526316
48,Permfit-DNN,0,300,regression_perm,48,0.073684210526316
49,Permfit-DNN,0,300,regression_perm,49,0.094736842105263
50,Permfit-DNN,0,300,regression_perm,50,0.021052631578947
51,Permfit-DNN,0,300,regression_perm,51,0.063157894736842
52,Permfit-DNN,0,300,regression_perm,52,0.073684210526316
53,Permfit-DNN,0,300,regression_perm,53,0.08421052631579
54,Permfit-DNN,0,300,regression_perm,54,0.010526315789474
55,Permfit-DNN,0,300,regression_perm,55,0.105263157894737
56,Permfit-DNN,0,300,regression_perm,56,0.052631578947368
57,Permfit-DNN,0,300,regression_perm,57,0.021052631578947
58,Permfit-DNN,0,300,regression_perm,58,0.042105263157895
59,Permfit-DNN,0,300,regression_perm,59,0.063157894736842
60,Permfit-DNN,0,300,regression_perm,60,0.042105263157895
61,Permfit-DNN,0,300,regression_perm,61,0.08421052631579
62,Permfit-DNN,0,300,regression_perm,62,0.021052631578947
63,Permfit-DNN,0,300,regression_perm,63,0.052631578947368
64,Permfit-DNN,0,300,regression_perm,64,0.031578947368421
65,Permfit-DNN,0,300,regression_perm,65,0.052631578947368
66,Permfit-DNN,0,300,regression_perm,66,0.105263157894737
67,Permfit-DNN,0,300,regression_perm,67,0.010526315789474
68,Permfit-DNN,0,300,regression_perm,68,0.042105263157895
69,Permfit-DNN,0,300,regression_perm,69,0.063157894736842
70,Permfit-DNN,0,300,regression_perm,70,0.08421052631579
71,Permfit-DNN,0,300,regression_perm,71,0.105263157894737
72,Permfit-DNN,0,300,regression_perm,72,0.031578947368421
73,Permfit-DNN,0,300,regression_perm,73,0.042105263157895
74,Permfit-DNN,0,300,regression_perm,74,0.042105263157895
75,Permfit-DNN,0,300,regression_perm,75,0.042105263157895
76,Permfit-DNN,0,300,regression_perm,76,0.052631578947368
77,Permfit-DNN,0,300,regression_perm,77,0.042105263157895
78,Permfit-DNN,0,300,regression_perm,78,0.063157894736842
79,Permfit-DNN,0,300,regression_perm,79,0.042105263157895
80,Permfit-DNN,0,300,regression_perm,80,0.021052631578947
81,Permfit-DNN,0,300,regression_perm,81,0.042105263157895
82,Permfit-DNN,0,300,regression_perm,82,0.063157894736842
83,Permfit-DNN,0,300,regression_perm,83,0.052631578947368
84,Permfit-DNN,0,300,regression_perm,84,0.031578947368421
85,Permfit-DNN,0,300,regression_perm,85,0.073684210526316
86,Permfit-DNN,0,300,regression_perm,86,0.031578947368421
87,Permfit-DNN,0,300,regression_perm,87,0.031578947368421
88,Permfit-DNN,0,300,regression_perm,88,0.052631578947368
89,Permfit-DNN,0,300,regression_perm,89,0.08421052631579
90,Permfit-DNN,0,300,regression_perm,90,0.052631578947368
91,Permfit-DNN,0,300,regression_perm,91,0.063157894736842
92,Permfit-DNN,0,300,regression_perm,92,0.031578947368421
93,Permfit-DNN,0,300,regression_perm,93,0.073684210526316
94,Permfit-DNN,0,300,regression_perm,94,0.031578947368421
95,Permfit-DNN,0,300,regression_perm,95,0.063157894736842
96,Permfit-DNN,0,300,regression_perm,96,0.052631578947368
97,Permfit-DNN,0,300,regression_perm,97,0
98,Permfit-DNN,0,300,regression_perm,98,0.031578947368421
99,Permfit-DNN,0,300,regression_perm,99,0.052631578947368
100,Permfit-DNN,0,300,regression_perm,100,0.063157894736842
