"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","CPI-DNN",0.8,8357,"regression_combine",1,"regression",0.0251177394034537
"2","CPI-DNN",0.8,8357,"regression_combine",2,"regression",0.108320251177394
"3","CPI-DNN",0.8,8357,"regression_combine",3,"regression",0.032967032967033
"4","CPI-DNN",0.8,8357,"regression_combine",4,"regression",0.0235478806907378
"5","CPI-DNN",0.8,8357,"regression_combine",5,"regression",0.00941915227629513
"6","CPI-DNN",0.8,8357,"regression_combine",6,"regression",0.0549450549450549
"7","CPI-DNN",0.8,8357,"regression_combine",7,"regression",0.00941915227629513
"8","CPI-DNN",0.8,8357,"regression_combine",8,"regression",0.0188383045525903
"9","CPI-DNN",0.8,8357,"regression_combine",9,"regression",0.0361067503924647
"10","CPI-DNN",0.8,8357,"regression_combine",10,"regression",0.00313971742543171
"11","CPI-DNN",0.8,8357,"regression_combine",11,"regression",0.0345368916797488
"12","CPI-DNN",0.8,8357,"regression_combine",12,"regression",0.0345368916797488
"13","CPI-DNN",0.8,8357,"regression_combine",13,"regression",0.0612244897959184
"14","CPI-DNN",0.8,8357,"regression_combine",14,"regression",0.103610675039246
"15","CPI-DNN",0.8,8357,"regression_combine",15,"regression",0.00470957613814757
"16","CPI-DNN",0.8,8357,"regression_combine",16,"regression",0.0612244897959184
"17","CPI-DNN",0.8,8357,"regression_combine",17,"regression",0.00156985871271586
"18","CPI-DNN",0.8,8357,"regression_combine",18,"regression",0.0847723704866562
"19","CPI-DNN",0.8,8357,"regression_combine",19,"regression",0.0879120879120879
"20","CPI-DNN",0.8,8357,"regression_combine",20,"regression",0.0172684458398744
"21","CPI-DNN",0.8,8357,"regression_combine",21,"regression",0.0345368916797488
"22","CPI-DNN",0.8,8357,"regression_combine",22,"regression",0.00627943485086342
"23","CPI-DNN",0.8,8357,"regression_combine",23,"regression",0.0298273155416013
"24","CPI-DNN",0.8,8357,"regression_combine",24,"regression",0.0376766091051805
"25","CPI-DNN",0.8,8357,"regression_combine",25,"regression",0.0141287284144427
"26","CPI-DNN",0.8,8357,"regression_combine",26,"regression",0.0235478806907378
"27","CPI-DNN",0.8,8357,"regression_combine",27,"regression",0.0266875981161695
"28","CPI-DNN",0.8,8357,"regression_combine",28,"regression",0.0345368916797488
"29","CPI-DNN",0.8,8357,"regression_combine",29,"regression",0.0423861852433281
"30","CPI-DNN",0.8,8357,"regression_combine",30,"regression",0.0533751962323391
"31","CPI-DNN",0.8,8357,"regression_combine",31,"regression",0.0957613814756672
"32","CPI-DNN",0.8,8357,"regression_combine",32,"regression",0.0172684458398744
"33","CPI-DNN",0.8,8357,"regression_combine",33,"regression",0.0470957613814757
"34","CPI-DNN",0.8,8357,"regression_combine",34,"regression",0.00784929356357928
"35","CPI-DNN",0.8,8357,"regression_combine",35,"regression",0.0172684458398744
"36","CPI-DNN",0.8,8357,"regression_combine",36,"regression",0.0565149136577708
"37","CPI-DNN",0.8,8357,"regression_combine",37,"regression",0.0408163265306122
"38","CPI-DNN",0.8,8357,"regression_combine",38,"regression",0.0659340659340659
"39","CPI-DNN",0.8,8357,"regression_combine",39,"regression",0.0282574568288854
"40","CPI-DNN",0.8,8357,"regression_combine",40,"regression",0.021978021978022
"41","CPI-DNN",0.8,8357,"regression_combine",41,"regression",0.0345368916797488
"42","CPI-DNN",0.8,8357,"regression_combine",42,"regression",0.103610675039246
"43","CPI-DNN",0.8,8357,"regression_combine",43,"regression",0.0204081632653061
"44","CPI-DNN",0.8,8357,"regression_combine",44,"regression",0.0345368916797488
"45","CPI-DNN",0.8,8357,"regression_combine",45,"regression",0.0282574568288854
"46","CPI-DNN",0.8,8357,"regression_combine",46,"regression",0.0188383045525903
"47","CPI-DNN",0.8,8357,"regression_combine",47,"regression",0.0502354788069074
"48","CPI-DNN",0.8,8357,"regression_combine",48,"regression",0.0502354788069074
"49","CPI-DNN",0.8,8357,"regression_combine",49,"regression",0.141287284144427
"50","CPI-DNN",0.8,8357,"regression_combine",50,"regression",0.0361067503924647
"51","CPI-DNN",0.8,8357,"regression_combine",51,"regression",0.010989010989011
"52","CPI-DNN",0.8,8357,"regression_combine",52,"regression",0.117739403453689
"53","CPI-DNN",0.8,8357,"regression_combine",53,"regression",0.1287284144427
"54","CPI-DNN",0.8,8357,"regression_combine",54,"regression",0.0580847723704867
"55","CPI-DNN",0.8,8357,"regression_combine",55,"regression",0.0156985871271586
"56","CPI-DNN",0.8,8357,"regression_combine",56,"regression",0.00470957613814757
"57","CPI-DNN",0.8,8357,"regression_combine",57,"regression",0.0737833594976452
"58","CPI-DNN",0.8,8357,"regression_combine",58,"regression",0.0156985871271586
"59","CPI-DNN",0.8,8357,"regression_combine",59,"regression",0.0313971742543171
"60","CPI-DNN",0.8,8357,"regression_combine",60,"regression",0.0235478806907378
"61","CPI-DNN",0.8,8357,"regression_combine",61,"regression",0.0156985871271586
"62","CPI-DNN",0.8,8357,"regression_combine",62,"regression",0.0282574568288854
"63","CPI-DNN",0.8,8357,"regression_combine",63,"regression",0.00627943485086342
"64","CPI-DNN",0.8,8357,"regression_combine",64,"regression",0.0565149136577708
"65","CPI-DNN",0.8,8357,"regression_combine",65,"regression",0.032967032967033
"66","CPI-DNN",0.8,8357,"regression_combine",66,"regression",0.0643642072213501
"67","CPI-DNN",0.8,8357,"regression_combine",67,"regression",0.0643642072213501
"68","CPI-DNN",0.8,8357,"regression_combine",68,"regression",0.0172684458398744
"69","CPI-DNN",0.8,8357,"regression_combine",69,"regression",0.0376766091051805
"70","CPI-DNN",0.8,8357,"regression_combine",70,"regression",0.0235478806907378
"71","CPI-DNN",0.8,8357,"regression_combine",71,"regression",0.100470957613815
"72","CPI-DNN",0.8,8357,"regression_combine",72,"regression",0.0627943485086342
"73","CPI-DNN",0.8,8357,"regression_combine",73,"regression",0.032967032967033
"74","CPI-DNN",0.8,8357,"regression_combine",74,"regression",0.0612244897959184
"75","CPI-DNN",0.8,8357,"regression_combine",75,"regression",0.136577708006279
"76","CPI-DNN",0.8,8357,"regression_combine",76,"regression",0.0627943485086342
"77","CPI-DNN",0.8,8357,"regression_combine",77,"regression",0.0533751962323391
"78","CPI-DNN",0.8,8357,"regression_combine",78,"regression",0.0486656200941915
"79","CPI-DNN",0.8,8357,"regression_combine",79,"regression",0.0282574568288854
"80","CPI-DNN",0.8,8357,"regression_combine",80,"regression",0.0298273155416013
"81","CPI-DNN",0.8,8357,"regression_combine",81,"regression",0.0423861852433281
"82","CPI-DNN",0.8,8357,"regression_combine",82,"regression",0.0188383045525903
"83","CPI-DNN",0.8,8357,"regression_combine",83,"regression",0.0408163265306122
"84","CPI-DNN",0.8,8357,"regression_combine",84,"regression",0.0455259026687598
"85","CPI-DNN",0.8,8357,"regression_combine",85,"regression",0.0235478806907378
"86","CPI-DNN",0.8,8357,"regression_combine",86,"regression",0.0361067503924647
"87","CPI-DNN",0.8,8357,"regression_combine",87,"regression",0.0596546310832025
"88","CPI-DNN",0.8,8357,"regression_combine",88,"regression",0.0313971742543171
"89","CPI-DNN",0.8,8357,"regression_combine",89,"regression",0.0706436420722135
