Unnamed: 0,Method,correlation,n_samples,prob_data,V2
1,CPI-DNN,0.8,100,Classification,0.0
2,CPI-DNN,0.8,100,Classification,0.033333333333333
3,CPI-DNN,0.8,100,Classification,0.0
4,CPI-DNN,0.8,100,Classification,0.066666666666667
5,CPI-DNN,0.8,100,Classification,0.1
6,CPI-DNN,0.8,100,Classification,0.033333333333333
7,CPI-DNN,0.8,100,Classification,0.033333333333333
8,CPI-DNN,0.8,100,Classification,0.0
9,CPI-DNN,0.8,100,Classification,0.066666666666667
10,CPI-DNN,0.8,100,Classification,0.033333333333333
11,CPI-DNN,0.8,100,Classification,0.033333333333333
12,CPI-DNN,0.8,100,Classification,0.1
13,CPI-DNN,0.8,100,Classification,0.033333333333333
14,CPI-DNN,0.8,100,Classification,0.033333333333333
15,CPI-DNN,0.8,100,Classification,0.133333333333333
16,CPI-DNN,0.8,100,Classification,0.066666666666667
17,CPI-DNN,0.8,100,Classification,0.066666666666667
18,CPI-DNN,0.8,100,Classification,0.066666666666667
19,CPI-DNN,0.8,100,Classification,0.0
20,CPI-DNN,0.8,100,Classification,0.066666666666667
21,CPI-DNN,0.8,100,Classification,0.033333333333333
22,CPI-DNN,0.8,100,Classification,0.066666666666667
23,CPI-DNN,0.8,100,Classification,0.033333333333333
24,CPI-DNN,0.8,100,Classification,0.0
25,CPI-DNN,0.8,100,Classification,0.066666666666667
26,CPI-DNN,0.8,100,Classification,0.0
27,CPI-DNN,0.8,100,Classification,0.0
28,CPI-DNN,0.8,100,Classification,0.0
29,CPI-DNN,0.8,100,Classification,0.0
30,CPI-DNN,0.8,100,Classification,0.066666666666667
31,CPI-DNN,0.8,100,Classification,0.0
32,CPI-DNN,0.8,100,Classification,0.033333333333333
33,CPI-DNN,0.8,100,Classification,0.0
34,CPI-DNN,0.8,100,Classification,0.066666666666667
35,CPI-DNN,0.8,100,Classification,0.0
36,CPI-DNN,0.8,100,Classification,0.066666666666667
37,CPI-DNN,0.8,100,Classification,0.066666666666667
38,CPI-DNN,0.8,100,Classification,0.066666666666667
39,CPI-DNN,0.8,100,Classification,0.033333333333333
40,CPI-DNN,0.8,100,Classification,0.0
41,CPI-DNN,0.8,100,Classification,0.166666666666667
42,CPI-DNN,0.8,100,Classification,0.033333333333333
43,CPI-DNN,0.8,100,Classification,0.133333333333333
44,CPI-DNN,0.8,100,Classification,0.033333333333333
45,CPI-DNN,0.8,100,Classification,0.1
46,CPI-DNN,0.8,100,Classification,0.0
47,CPI-DNN,0.8,100,Classification,0.033333333333333
48,CPI-DNN,0.8,100,Classification,0.0
49,CPI-DNN,0.8,100,Classification,0.0
50,CPI-DNN,0.8,100,Classification,0.033333333333333
51,CPI-DNN,0.8,100,Classification,0.0
52,CPI-DNN,0.8,100,Classification,0.0
53,CPI-DNN,0.8,100,Classification,0.0
54,CPI-DNN,0.8,100,Classification,0.0
55,CPI-DNN,0.8,100,Classification,0.033333333333333
56,CPI-DNN,0.8,100,Classification,0.066666666666667
57,CPI-DNN,0.8,100,Classification,0.033333333333333
58,CPI-DNN,0.8,100,Classification,0.0
59,CPI-DNN,0.8,100,Classification,0.066666666666667
60,CPI-DNN,0.8,100,Classification,0.066666666666667
61,CPI-DNN,0.8,100,Classification,0.0
62,CPI-DNN,0.8,100,Classification,0.033333333333333
63,CPI-DNN,0.8,100,Classification,0.033333333333333
64,CPI-DNN,0.8,100,Classification,0.033333333333333
65,CPI-DNN,0.8,100,Classification,0.066666666666667
66,CPI-DNN,0.8,100,Classification,0.0
67,CPI-DNN,0.8,100,Classification,0.033333333333333
68,CPI-DNN,0.8,100,Classification,0.033333333333333
69,CPI-DNN,0.8,100,Classification,0.0
70,CPI-DNN,0.8,100,Classification,0.0
71,CPI-DNN,0.8,100,Classification,0.1
72,CPI-DNN,0.8,100,Classification,0.1
73,CPI-DNN,0.8,100,Classification,0.0
74,CPI-DNN,0.8,100,Classification,0.066666666666667
75,CPI-DNN,0.8,100,Classification,0.066666666666667
76,CPI-DNN,0.8,100,Classification,0.1
77,CPI-DNN,0.8,100,Classification,0.066666666666667
78,CPI-DNN,0.8,100,Classification,0.033333333333333
79,CPI-DNN,0.8,100,Classification,0.033333333333333
80,CPI-DNN,0.8,100,Classification,0.0
81,CPI-DNN,0.8,100,Classification,0.033333333333333
82,CPI-DNN,0.8,100,Classification,0.066666666666667
83,CPI-DNN,0.8,100,Classification,0.033333333333333
84,CPI-DNN,0.8,100,Classification,0.033333333333333
85,CPI-DNN,0.8,100,Classification,0.066666666666667
86,CPI-DNN,0.8,100,Classification,0.033333333333333
87,CPI-DNN,0.8,100,Classification,0.0
88,CPI-DNN,0.8,100,Classification,0.033333333333333
89,CPI-DNN,0.8,100,Classification,0.1
90,CPI-DNN,0.8,100,Classification,0.1
91,CPI-DNN,0.8,100,Classification,0.033333333333333
92,CPI-DNN,0.8,100,Classification,0.0
93,CPI-DNN,0.8,100,Classification,0.0
