,Method,correlation_group,n_samples,prob_data,iteration,group_stack,V1
1,CPI-DNN,0,1000,regression_group_sim_1,1,TRUE,0.2
2,CPI-DNN,0,1000,regression_group_sim_1,2,TRUE,0
3,CPI-DNN,0,1000,regression_group_sim_1,3,TRUE,0
4,CPI-DNN,0,1000,regression_group_sim_1,4,TRUE,0
5,CPI-DNN,0,1000,regression_group_sim_1,5,TRUE,0.2
6,CPI-DNN,0,1000,regression_group_sim_1,6,TRUE,0
7,CPI-DNN,0,1000,regression_group_sim_1,7,TRUE,0
8,CPI-DNN,0,1000,regression_group_sim_1,8,TRUE,0
9,CPI-DNN,0,1000,regression_group_sim_1,9,TRUE,0
10,CPI-DNN,0,1000,regression_group_sim_1,10,TRUE,0
11,CPI-DNN,0,1000,regression_group_sim_1,11,TRUE,0
12,CPI-DNN,0,1000,regression_group_sim_1,12,TRUE,0
13,CPI-DNN,0,1000,regression_group_sim_1,13,TRUE,0
14,CPI-DNN,0,1000,regression_group_sim_1,14,TRUE,0
15,CPI-DNN,0,1000,regression_group_sim_1,15,TRUE,0
16,CPI-DNN,0,1000,regression_group_sim_1,16,TRUE,0
17,CPI-DNN,0,1000,regression_group_sim_1,17,TRUE,0
18,CPI-DNN,0,1000,regression_group_sim_1,18,TRUE,0.2
19,CPI-DNN,0,1000,regression_group_sim_1,19,TRUE,0
20,CPI-DNN,0,1000,regression_group_sim_1,20,TRUE,0
21,CPI-DNN,0,1000,regression_group_sim_1,21,TRUE,0.2
22,CPI-DNN,0,1000,regression_group_sim_1,22,TRUE,0
23,CPI-DNN,0,1000,regression_group_sim_1,23,TRUE,0
24,CPI-DNN,0,1000,regression_group_sim_1,24,TRUE,0
25,CPI-DNN,0,1000,regression_group_sim_1,25,TRUE,0
26,CPI-DNN,0,1000,regression_group_sim_1,26,TRUE,0
27,CPI-DNN,0,1000,regression_group_sim_1,27,TRUE,0
28,CPI-DNN,0,1000,regression_group_sim_1,28,TRUE,0
29,CPI-DNN,0,1000,regression_group_sim_1,29,TRUE,0
30,CPI-DNN,0,1000,regression_group_sim_1,30,TRUE,0
31,CPI-DNN,0,1000,regression_group_sim_1,31,TRUE,0
32,CPI-DNN,0,1000,regression_group_sim_1,32,TRUE,0
33,CPI-DNN,0,1000,regression_group_sim_1,33,TRUE,0
34,CPI-DNN,0,1000,regression_group_sim_1,34,TRUE,0
35,CPI-DNN,0,1000,regression_group_sim_1,35,TRUE,0
36,CPI-DNN,0,1000,regression_group_sim_1,36,TRUE,0
37,CPI-DNN,0,1000,regression_group_sim_1,37,TRUE,0
38,CPI-DNN,0,1000,regression_group_sim_1,38,TRUE,0
39,CPI-DNN,0,1000,regression_group_sim_1,39,TRUE,0
40,CPI-DNN,0,1000,regression_group_sim_1,40,TRUE,0
41,CPI-DNN,0,1000,regression_group_sim_1,41,TRUE,0
42,CPI-DNN,0,1000,regression_group_sim_1,42,TRUE,0
43,CPI-DNN,0,1000,regression_group_sim_1,43,TRUE,0
44,CPI-DNN,0,1000,regression_group_sim_1,44,TRUE,0
45,CPI-DNN,0,1000,regression_group_sim_1,45,TRUE,0
46,CPI-DNN,0,1000,regression_group_sim_1,46,TRUE,0
47,CPI-DNN,0,1000,regression_group_sim_1,47,TRUE,0
48,CPI-DNN,0,1000,regression_group_sim_1,48,TRUE,0
49,CPI-DNN,0,1000,regression_group_sim_1,49,TRUE,0
50,CPI-DNN,0,1000,regression_group_sim_1,50,TRUE,0
51,CPI-DNN,0,1000,regression_group_sim_1,51,TRUE,0.2
52,CPI-DNN,0,1000,regression_group_sim_1,52,TRUE,0
53,CPI-DNN,0,1000,regression_group_sim_1,53,TRUE,0
54,CPI-DNN,0,1000,regression_group_sim_1,54,TRUE,0
55,CPI-DNN,0,1000,regression_group_sim_1,55,TRUE,0
56,CPI-DNN,0,1000,regression_group_sim_1,56,TRUE,0
57,CPI-DNN,0,1000,regression_group_sim_1,57,TRUE,0
58,CPI-DNN,0,1000,regression_group_sim_1,58,TRUE,0.2
59,CPI-DNN,0,1000,regression_group_sim_1,59,TRUE,0
60,CPI-DNN,0,1000,regression_group_sim_1,60,TRUE,0
61,CPI-DNN,0,1000,regression_group_sim_1,61,TRUE,0
62,CPI-DNN,0,1000,regression_group_sim_1,62,TRUE,0
63,CPI-DNN,0,1000,regression_group_sim_1,63,TRUE,0
