"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","Permfit-DNN",0.8,10000,"regression_combine",1,"regression",0.733333333333333
"2","Permfit-DNN",0.8,10000,"regression_combine",2,"regression",0.133333333333333
"3","Permfit-DNN",0.8,10000,"regression_combine",3,"regression",0.566666666666667
"4","Permfit-DNN",0.8,10000,"regression_combine",4,"regression",0.4
"5","Permfit-DNN",0.8,10000,"regression_combine",5,"regression",0.4
"6","Permfit-DNN",0.8,10000,"regression_combine",6,"regression",0.833333333333333
"7","Permfit-DNN",0.8,10000,"regression_combine",7,"regression",0.8
"8","Permfit-DNN",0.8,10000,"regression_combine",8,"regression",0.333333333333333
"9","Permfit-DNN",0.8,10000,"regression_combine",9,"regression",0.433333333333333
"10","Permfit-DNN",0.8,10000,"regression_combine",10,"regression",0.3
"11","Permfit-DNN",0.8,10000,"regression_combine",11,"regression",0.266666666666667
"12","Permfit-DNN",0.8,10000,"regression_combine",12,"regression",0.366666666666667
"13","Permfit-DNN",0.8,10000,"regression_combine",13,"regression",0.533333333333333
"14","Permfit-DNN",0.8,10000,"regression_combine",14,"regression",0.5
"15","Permfit-DNN",0.8,10000,"regression_combine",15,"regression",0.466666666666667
"16","Permfit-DNN",0.8,10000,"regression_combine",16,"regression",0.666666666666667
"17","Permfit-DNN",0.8,10000,"regression_combine",17,"regression",0.466666666666667
"18","Permfit-DNN",0.8,10000,"regression_combine",18,"regression",0.366666666666667
"19","Permfit-DNN",0.8,10000,"regression_combine",19,"regression",0.666666666666667
"20","Permfit-DNN",0.8,10000,"regression_combine",20,"regression",0.8
"21","Permfit-DNN",0.8,10000,"regression_combine",21,"regression",0.433333333333333
"22","Permfit-DNN",0.8,10000,"regression_combine",22,"regression",0.5
"23","Permfit-DNN",0.8,10000,"regression_combine",23,"regression",0.466666666666667
"24","Permfit-DNN",0.8,10000,"regression_combine",24,"regression",0.366666666666667
"25","Permfit-DNN",0.8,10000,"regression_combine",25,"regression",0.366666666666667
"26","Permfit-DNN",0.8,10000,"regression_combine",26,"regression",0.166666666666667
"27","Permfit-DNN",0.8,10000,"regression_combine",27,"regression",0.366666666666667
"28","Permfit-DNN",0.8,10000,"regression_combine",28,"regression",0.433333333333333
"29","Permfit-DNN",0.8,10000,"regression_combine",29,"regression",0.4
"30","Permfit-DNN",0.8,10000,"regression_combine",30,"regression",0.366666666666667
"31","Permfit-DNN",0.8,10000,"regression_combine",31,"regression",0.466666666666667
"32","Permfit-DNN",0.8,10000,"regression_combine",32,"regression",0.733333333333333
"33","Permfit-DNN",0.8,10000,"regression_combine",33,"regression",0.633333333333333
"34","Permfit-DNN",0.8,10000,"regression_combine",34,"regression",0.4
"35","Permfit-DNN",0.8,10000,"regression_combine",35,"regression",0.333333333333333
"36","Permfit-DNN",0.8,10000,"regression_combine",36,"regression",0.3
"37","Permfit-DNN",0.8,10000,"regression_combine",37,"regression",0.4
"38","Permfit-DNN",0.8,10000,"regression_combine",38,"regression",0.4
"39","Permfit-DNN",0.8,10000,"regression_combine",39,"regression",0.166666666666667
"40","Permfit-DNN",0.8,10000,"regression_combine",40,"regression",0.333333333333333
"41","Permfit-DNN",0.8,10000,"regression_combine",41,"regression",0.533333333333333
"42","Permfit-DNN",0.8,10000,"regression_combine",42,"regression",0.7
"43","Permfit-DNN",0.8,10000,"regression_combine",43,"regression",0.766666666666667
"44","Permfit-DNN",0.8,10000,"regression_combine",44,"regression",0.8
"45","Permfit-DNN",0.8,10000,"regression_combine",45,"regression",0.4
"46","Permfit-DNN",0.8,10000,"regression_combine",46,"regression",0.466666666666667
"47","Permfit-DNN",0.8,10000,"regression_combine",47,"regression",0.233333333333333
"48","Permfit-DNN",0.8,10000,"regression_combine",48,"regression",0.333333333333333
"49","Permfit-DNN",0.8,10000,"regression_combine",49,"regression",0.733333333333333
"50","Permfit-DNN",0.8,10000,"regression_combine",50,"regression",0.366666666666667
"51","Permfit-DNN",0.8,10000,"regression_combine",51,"regression",0.366666666666667
"52","Permfit-DNN",0.8,10000,"regression_combine",52,"regression",0.466666666666667
"53","Permfit-DNN",0.8,10000,"regression_combine",53,"regression",0.2
"54","Permfit-DNN",0.8,10000,"regression_combine",54,"regression",0.233333333333333
"55","Permfit-DNN",0.8,10000,"regression_combine",55,"regression",0.233333333333333
"56","Permfit-DNN",0.8,10000,"regression_combine",56,"regression",0.466666666666667
"57","Permfit-DNN",0.8,10000,"regression_combine",57,"regression",0.7
"58","Permfit-DNN",0.8,10000,"regression_combine",58,"regression",0.266666666666667
"59","Permfit-DNN",0.8,10000,"regression_combine",59,"regression",0.333333333333333
"60","Permfit-DNN",0.8,10000,"regression_combine",60,"regression",0.3
"61","Permfit-DNN",0.8,10000,"regression_combine",61,"regression",0.2
"62","Permfit-DNN",0.8,10000,"regression_combine",62,"regression",0.3
"63","Permfit-DNN",0.8,10000,"regression_combine",63,"regression",0.4
"64","Permfit-DNN",0.8,10000,"regression_combine",64,"regression",0.733333333333333
"65","Permfit-DNN",0.8,10000,"regression_combine",65,"regression",0.566666666666667
"66","Permfit-DNN",0.8,10000,"regression_combine",66,"regression",0.433333333333333
"67","Permfit-DNN",0.8,10000,"regression_combine",67,"regression",0.6
"68","Permfit-DNN",0.8,10000,"regression_combine",68,"regression",0.366666666666667
"69","Permfit-DNN",0.8,10000,"regression_combine",69,"regression",0.4
"70","Permfit-DNN",0.8,10000,"regression_combine",70,"regression",0.5
"71","Permfit-DNN",0.8,10000,"regression_combine",71,"regression",0.366666666666667
"72","Permfit-DNN",0.8,10000,"regression_combine",72,"regression",0.166666666666667
"73","Permfit-DNN",0.8,10000,"regression_combine",73,"regression",0.5
"74","Permfit-DNN",0.8,10000,"regression_combine",74,"regression",0.5
"75","Permfit-DNN",0.8,10000,"regression_combine",75,"regression",0.666666666666667
"76","Permfit-DNN",0.8,10000,"regression_combine",76,"regression",0.566666666666667
"77","Permfit-DNN",0.8,10000,"regression_combine",77,"regression",0.866666666666667
"78","Permfit-DNN",0.8,10000,"regression_combine",78,"regression",0.333333333333333
"79","Permfit-DNN",0.8,10000,"regression_combine",79,"regression",0.433333333333333
"80","Permfit-DNN",0.8,10000,"regression_combine",80,"regression",0.633333333333333
"81","Permfit-DNN",0.8,10000,"regression_combine",81,"regression",0.233333333333333
"82","Permfit-DNN",0.8,10000,"regression_combine",82,"regression",0.133333333333333
"83","Permfit-DNN",0.8,10000,"regression_combine",83,"regression",0.266666666666667
"84","Permfit-DNN",0.8,10000,"regression_combine",84,"regression",0.366666666666667
"85","Permfit-DNN",0.8,10000,"regression_combine",85,"regression",0.7
"86","Permfit-DNN",0.8,10000,"regression_combine",86,"regression",0.4
"87","Permfit-DNN",0.8,10000,"regression_combine",87,"regression",0.433333333333333
"88","Permfit-DNN",0.8,10000,"regression_combine",88,"regression",0.366666666666667
"89","Permfit-DNN",0.8,10000,"regression_combine",89,"regression",0.5
"90","Permfit-DNN",0.8,10000,"regression_combine",90,"regression",0.433333333333333
"91","Permfit-DNN",0.8,10000,"regression_combine",91,"regression",0.333333333333333
"92","Permfit-DNN",0.8,10000,"regression_combine",92,"regression",0.333333333333333
"93","Permfit-DNN",0.8,10000,"regression_combine",93,"regression",0.4
"94","Permfit-DNN",0.8,10000,"regression_combine",94,"regression",0.4
"95","Permfit-DNN",0.8,10000,"regression_combine",95,"regression",0.433333333333333
"96","Permfit-DNN",0.8,10000,"regression_combine",96,"regression",0.666666666666667
