method,variable,importance,p_value,score,time,group_based,group_stack
CPI-DNN,6160-2.0,0.1466746967626674,1.256443148459884e-49,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,738-2.0,0.038969983265914866,9.242093722250823e-11,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,31-0.0,0.01758933748023458,1.0277901637847067e-06,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,20016-2.0,0.008614870858335788,1.5053220392193332e-05,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,767-2.0,0.0047059274097777815,0.00029878144420318755,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,4609-2.0,0.010040389913030766,0.0004681292087212994,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,4548-2.0,0.0016333048783465918,0.0005131977570791674,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,699-2.0,0.008805057515877103,0.000599026020356077,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,6145-2.0,0.008107330262118266,0.0007502930870677542,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,3426-2.0,0.0025520742269906278,0.001228924037730938,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,6156-2.0,0.004438696912678775,0.002076977773568725,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,4581-2.0,0.002150803074433546,0.0027780669409565974,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,4526-2.0,0.0007676860074453788,0.002812642031362268,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,6142-2.0,0.0024173645452515197,0.017573412519531605,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,2040-2.0,0.0035145465888070447,0.021128132034534886,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25203-2.0,0.00019294714493321916,0.0260808689762715,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25910-2.0,0.00045922679318413857,0.029984076740135052,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25001-2.0,0.000539461733119329,0.04509683782019523,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25248-2.0,4.531084334335302e-05,0.04608892418241265,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,20127-0.0,0.0011540036794207146,0.04917427918528784,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,4620-2.0,0.003829874230784813,0.049931777134342374,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,670-2.0,0.0022119612179702882,0.05151316036234545,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25249-2.0,8.617414440570683e-05,0.05716172692049538,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25892-2.0,0.000489800105994664,0.06180576401122631,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,6138-2.0,0.002715296284093419,0.09580608251798006,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25913-2.0,0.0002831511357091958,0.10832827740023632,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,806-2.0,0.0006069702945257874,0.12052440159738148,0.11415441113491614,5.3770458417323725,False,False
CPI-DNN,25393-2.0,0.00013470774639732312,0.12540611304056076,0.11415441113491614,5.3770458417323725,False,False
