method,variable,importance,p_value,score,time,group_based,group_stack
CPI-DNN,767-2.0,0.012852747555571666,1.3723590961998435e-12,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4548-2.0,0.00047475547627489923,0.00011065590272853974,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4581-2.0,0.00021472939000508718,0.000707725120351528,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4526-2.0,0.00017103453131688632,0.0018576627054213693,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4559-2.0,0.00027083061669092137,0.0021801142923541946,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25153-2.0,3.18521597890422e-05,0.006552802651545706,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25344-2.0,8.790130943117954e-05,0.011223238212233652,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25253-2.0,6.606337603060141e-06,0.023046574290753387,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25349-2.0,4.043805397607181e-05,0.028789479492671934,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25919-2.0,0.00010085035664749673,0.031118293299508503,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,1787-2.0,0.00029971831786499456,0.033207395005528766,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25056-2.0,5.4011813699946915e-05,0.05224729912666027,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,3426-2.0,0.0001292724239674415,0.06559466976425865,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4609-2.0,0.0011268242886607798,0.07011239807175318,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,6156-2.0,0.00022715547594161445,0.07031073207549339,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25907-2.0,3.668502415965518e-05,0.0721870722939559,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,699-2.0,0.0008457461580425471,0.07301653052126382,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,816-2.0,9.83202058937835e-05,0.09031071381730954,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25913-2.0,2.6334898805208157e-05,0.09167154056320626,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25300-2.0,5.666332614086124e-06,0.10373072924708743,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25157-2.0,1.3186329945301326e-05,0.11358970521752654,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25441-2.0,3.5865377620184317e-06,0.14217382634220954,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25009-2.0,6.222261927122217e-05,0.14278601527061424,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25005-2.0,2.1861358709399474e-05,0.16508225386758874,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25443-2.0,4.712590168264089e-06,0.16763947902444343,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4537-2.0,0.0001304761332450914,0.169385941646981,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,6138-2.0,7.851913729082961e-05,0.1779937926243747,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25345-2.0,7.201793165571578e-05,0.18102613712738147,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4620-2.0,0.00029991017969092156,0.1819805657651104,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25444-2.0,7.192579111787383e-06,0.19608702151261376,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4598-2.0,6.718710074473389e-05,0.2091100967204999,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25154-2.0,1.76125659849835e-05,0.21312302124378263,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25394-2.0,1.6189767844447466e-05,0.21641405357331578,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25109-2.0,1.5376457740564604e-06,0.22879854324755877,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4570-2.0,2.2694133492784162e-05,0.23496766227287802,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25152-2.0,5.3695479456477125e-05,0.23700512372603127,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,670-2.0,1.5092689263909859e-05,0.241660853229823,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25916-2.0,3.317193157347609e-05,0.24366870771900795,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25202-2.0,1.2386370536254877e-05,0.25144885429894726,0.0228086176490761,5.458830177799973,False,False
