method,variable,importance,p_value,score,time,group_based,group_stack
Permfit-DNN,767-2.0,0.033773825981475464,3.178249285246411e-39,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4526-2.0,0.00013651402465858327,1.675991194743352e-05,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4548-2.0,0.00043191695698687165,5.0559629273624035e-05,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4581-2.0,0.00012248524474078328,0.0008261364611170891,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,6156-2.0,0.0005062486613506991,0.001199958860019211,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4559-2.0,0.0003800096768356303,0.0015110638833192322,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,1787-2.0,0.0007015592109180197,0.0027255788279419903,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25344-2.0,0.00018119753305438006,0.020916424444452818,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,3426-2.0,0.0001236215877013736,0.03185623935904464,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,1677-2.0,0.00023649126214690238,0.0319108467510403,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25056-2.0,0.00034829910036065175,0.03569819865072604,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,709-2.0,4.7454221597765565e-05,0.047207401018474614,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25395-2.0,5.9030647007193104e-05,0.053923282693202346,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25152-2.0,0.0001723773368813752,0.05560566834583321,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,6145-2.0,0.00029109392686930144,0.06607255170620598,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25156-2.0,7.020643098191648e-05,0.06749617811727297,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25397-2.0,3.9987389876486146e-05,0.08256961380053196,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25001-2.0,5.861606739600819e-05,0.08735266006177522,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25154-2.0,0.00019409813858056255,0.10631878648163201,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25349-2.0,4.068388721489453e-05,0.11180574478246297,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4570-2.0,2.351257389240251e-05,0.12681266643123335,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25919-2.0,0.00012168429581993777,0.13274968820827654,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25204-2.0,5.801229243885679e-05,0.1366732781429168,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4631-2.0,0.00011640554050436014,0.13676679511955703,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25248-2.0,4.6968439194745474e-05,0.13834142123278786,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,31-0.0,0.0005324417636388928,0.13836205113164074,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25296-2.0,5.356356340812173e-05,0.1611046261417136,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4609-2.0,0.0004594259060486591,0.16476539600305723,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,6142-2.0,5.948261531628673e-05,0.16493600808455305,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,670-2.0,0.00015173810948497277,0.17804316847935786,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,20016-2.0,6.717269396067864e-05,0.22419981937847777,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25157-2.0,3.1435919114549314e-05,0.2404972687217531,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,816-2.0,9.906022018074601e-05,0.24604447219341796,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25153-2.0,3.935790835980042e-05,0.2525614398788517,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25108-2.0,2.8593660358744248e-05,0.2627434151899981,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25009-2.0,7.914718432602799e-05,0.280579489705151,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25441-2.0,1.6692807878891967e-05,0.28902693197974444,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,699-2.0,5.18355919492016e-05,0.2923991603505682,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25901-2.0,3.457982646171369e-05,0.34267451599498966,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25300-2.0,7.506991101209116e-06,0.35123032248037034,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,20127-0.0,2.7372495597048726e-05,0.3711337998642524,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25005-2.0,2.70287411712964e-05,0.3812975171374967,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4598-2.0,4.5179971579383884e-05,0.3941924231796867,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25201-2.0,8.614943104630142e-06,0.40292703337062996,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25892-2.0,2.3724468084928255e-05,0.4029395392218988,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25347-2.0,2.823225683026375e-05,0.4029552405959317,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25104-2.0,7.970796135808002e-06,0.4094008831109317,0.024558316798519386,4.5458198531167,False,False
