method,variable,importance,p_value,score,time,group_based,group_stack
Permfit-DNN,6138-2.0,1.1020655182351726,1.1061362446647215e-08,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4581-2.0,0.36995704162435544,1.7753752030923124e-05,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,709-2.0,0.6278780357759323,0.00013377594022251496,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,6160-2.0,0.7414239720891775,0.00020361589668977883,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4548-2.0,0.3402304487336285,0.0003078329148406526,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25001-2.0,0.6115719697734182,0.00032062036969000103,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,31-0.0,0.3121295556442337,0.0003606573723479182,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,670-2.0,0.22172448836028352,0.0005954658891792187,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4598-2.0,0.2116192113834002,0.0006007587509251972,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25005-2.0,0.6814137867156232,0.0015805537273427385,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25892-2.0,0.8692609680031594,0.0019314644101978207,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,738-2.0,0.6465924689058734,0.0025963086003827672,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25107-2.0,0.31245614750435796,0.004304578373389739,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25443-2.0,0.2910303267529163,0.005342354197827911,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25299-2.0,0.292856966063176,0.00716426052682397,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4526-2.0,0.04777719728153898,0.014959339936674535,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25444-2.0,0.17645996822558718,0.016323862245650574,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25344-2.0,0.36786706451884427,0.021747926188137104,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25300-2.0,0.1461739274180502,0.02264810260603971,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25251-2.0,0.15464212672756414,0.028163391926919093,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25397-2.0,0.24222060897187117,0.047799283439675475,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25205-2.0,0.15084337937546366,0.050036700494363553,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25109-2.0,0.12194990443876243,0.05922153587419386,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,1787-2.0,0.3126554701952707,0.0607155494473979,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25442-2.0,0.07019077067093656,0.06582498763483952,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25025-2.0,0.40593965607998933,0.07738872502023515,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,2040-2.0,0.12427893736511289,0.07948277103651752,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25250-2.0,0.04814180302361798,0.08599984459646703,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25445-2.0,0.08429850896448011,0.0903655511769963,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25203-2.0,0.12886342464890171,0.1077832233002679,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,20016-2.0,0.16413677326055862,0.12339131155580102,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,699-2.0,0.28418648950678876,0.127550764415313,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,20127-0.0,0.08166827772919034,0.1372192542570304,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25009-2.0,0.12533530988908223,0.1441258906367225,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25108-2.0,0.06072891613595696,0.15852577688360214,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25060-2.0,0.06438032233560467,0.18030538028689191,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25059-2.0,0.0925491241753385,0.21419184828020993,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25058-2.0,0.04750940175752413,0.22327641653641495,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25154-2.0,0.09865212148565604,0.23172533716801125,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25396-2.0,0.044764916378295584,0.2360542927095418,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25253-2.0,0.03904788852278371,0.2392112303606032,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4631-2.0,0.11642372815606081,0.24220259488713614,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25061-2.0,0.08496182698746307,0.24419967964280132,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25394-2.0,0.03967277528922443,0.29015096404400154,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25392-2.0,0.024004122313525382,0.2908981421337101,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4570-2.0,0.0214389557552702,0.3066743594134008,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25056-2.0,0.028472115419362055,0.3297157933703402,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25919-2.0,0.037903195819272525,0.3623024116467545,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25252-2.0,0.02436815010895215,0.36795658116765717,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,3426-2.0,0.01557082884272488,0.4151154356892257,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,21022-0.0,0.030367023874913465,0.42357989816777747,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25296-2.0,0.010316280213946953,0.4294588480610153,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4609-2.0,0.14580673607043101,0.42969435440561354,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25249-2.0,0.01262116802180515,0.44105857794602155,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25297-2.0,0.012434112705764316,0.46153037781404666,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25200-2.0,0.0032787530740708295,0.474904980653359,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25440-2.0,0.003389074149016034,0.4755217084328005,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25345-2.0,0.0039027814141562945,0.47812137118910086,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25104-2.0,0.0033349391354396333,0.4782635516005658,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25301-2.0,0.0018065603999832527,0.48280798263032837,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25204-2.0,0.002645380329753441,0.4846367024814541,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25916-2.0,-0.010865484468829121,0.5370185675019176,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25248-2.0,-0.01202119010993295,0.5638442999065213,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25105-2.0,-0.01857963702482557,0.5739039809565671,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25348-2.0,-0.012845393160461965,0.5877343610195775,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,6156-2.0,-0.019009136112590475,0.604331583064612,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,6145-2.0,-0.028505398210750807,0.6158157636285208,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25157-2.0,-0.04760852391028374,0.6311940086192166,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25298-2.0,-0.015259067890576771,0.6510711926898085,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25395-2.0,-0.0299610888391725,0.661710581270307,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25057-2.0,-0.0343671375553184,0.7181971600068636,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25441-2.0,-0.05072830954937734,0.7281445879777632,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25901-2.0,-0.09136711171578182,0.7292266425089943,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25907-2.0,-0.1577756289705363,0.7655081241114077,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25349-2.0,-0.06666046074548909,0.8155995992816243,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25898-2.0,-0.050751841140814935,0.8160947006671615,0.04491023502938796,1.4853743857670147,False,False
